id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H33_economy_1,both,"['productividad', 'mano', 'obra', 'mano de obra']",['sea'], la productividad de la mano de obra o sea la cuantía,en la remuneración se debe en gran medida a diferencias en la productividad de la mano de obra o sea la cuantíay el valor del aporte de los trabajadores a la producción.
H33_economy_2,none,[None],[None], el tiempo es decir la gente,"más o menos "" lisas "" o "" suaves "" en el tiempo es decir la genteprefiere consumir un poco cada día en lugar de morirse de hambre"
H33_economy_3,both,"['nivel', 'equilibrio', 'ocupación', 'nivel de equilibrio']",['nivel'], el nivel de equilibrio de la ocupación es decir el nivel,"lo que llamaremos la propensión a consumir de la comunidad, el nivel de equilibrio de la ocupación es decir el nivelque no induce a los empresarios en conjunto a ampliar o contraer"
H33_economy_4,both,"['ocupación', 'plena', 'ocupación plena']",['salario'], la ocupación plena es decir el salario,global. Este nivel no puede ser mayor que el de la ocupación plena es decir el salarioreal no puede ser menor que la desutilidad marginal del trabajo;
H33_economy_5,both,"['expectativa', 'demanda', 'mayor']",['aumento'], la expectativa de una demanda mayor es decir un aumento,"que usará cierto equipo de producción, y cuando afirmamos que la expectativa de una demanda mayor es decir un aumentode la función de demanda global, provocará otro en la producción"
H33_economy_6,both,"['tasa', 'inversión', 'tasa de inversión']",['curva'], la tasa de inversión es decir la curva,"del capital. Ni son dos factores separados, que afectan la tasa de inversión es decir la curvade la eficiencia marginal del capital y el estado de la confianza"
H33_economy_7,none,[None],[None], la confianza es decir la confianza,debemos tener también en cuenta la otra faceta del estado de la confianza es decir la confianzade las instituciones de crédito en aquellos que buscan préstamos en ellas
H33_economy_8,both,"['teoría', 'precios']","['sea', 'análisis']", la teoría de los precios o sea el análisis,"a medida que la ocupación crece. Es decir, que la teoría de los precios o sea el análisisde la relación entre los cambios en la cantidad de dinero y"
H33_economy_9,left,['general'],[None], un grupo general a saber el espíritu,los demás tienen en común algo que invita a reunirlos en un grupo general a saber el espíritudel análisis numérico. Todos ellos han sido económetras. Su obra
H33_economy_10,left,"['punto', 'más']",[None], el punto más difícil del programa a saber la supresión,"Peel realizó (en lo esencial) el librecambio, incluso el punto más difícil del programa a saber la supresióndel gravamen a la importación de cereales. Aunque su gabinete v"
H33_economy_11,right,[None],['esquema'], un ejemplo a saber el esquema,"sería tan fácil de manejar. [7] Citaremos sólo un ejemplo a saber el esquemadel propio profesor FRISCH, presentado en su potente artículo "" PropagationProblems"
H33_economy_12,left,"['curva', 'tipos', 'interés', 'curva de tipos', 'tipos de interés']",[None], la curva de tipos de interés es decir la estructura,"rebasando mínimos históricos. En la tercera semana de febrero, la curva de tipos de interés es decir la estructurade los rendimientos por plazos, presentaba la forma que se puede"
H33_economy_13,left,"['curva', 'tipos', 'interés', 'curva de tipos', 'tipos de interés']",[None], la curva de tipos de interés es decir la estructura,"sobre los niveles mínimos de enero. De esta manera, la curva de tipos de interés es decir la estructuraplazos-rendimientos, se ha aplanado en las últimas semanas aun manteniendo una"
