Reference	LeftContext	Pivot	RightContext
1_e00004-plain	en la remuneración se debe en gran medida a diferencias en	la_ART_el productividad_NC_productividad de_PREP_de la_ART_el mano_NC_mano de_PREP_de obra_NC_obra,_CM_, o_CC_o sea_VSfin_ser la_ART_el cuantía_NC_cuantía	y el valor del aporte de los trabajadores a la producción.
1_e00051-plain	más o menos " lisas " o " suaves " en	el_ART_el tiempo_NC_tiempo (_LP_(es_VSfin_ser decir_VLinf_decir,_CM_, la_ART_el gente_NC_gente	prefiere consumir un poco cada día en lugar de morirse de hambre
1_e00053-plain	lo que llamaremos la propensión a consumir de la comunidad,	el_ART_el nivel_NC_nivel de_PREP_de equilibrio_NC_equilibrio de_PREP_de la_ART_el ocupación_NC_ocupación,_CM_, es_VSfin_ser decir_VLinf_decir,_CM_, el_ART_el nivel_NC_nivel	que no induce a los empresarios en conjunto a ampliar o contraer
1_e00053-plain	global. Este nivel no puede ser mayor que el de	la_ART_el ocupación_NC_ocupación plena_ADJ_pleno,_CM_, es_VSfin_ser decir_VLinf_decir,_CM_, el_ART_el salario_NC_salario	real no puede ser menor que la desutilidad marginal del trabajo;
1_e00053-plain	que usará cierto equipo de producción, y cuando afirmamos que	la_ART_el expectativa_NC_expectativa de_PREP_de una_ART_un demanda_NC_demanda mayor_ADJ_grande,_CM_, es_VSfin_ser decir_VLinf_decir,_CM_, un_ART_un aumento_NC_aumento	de la función de demanda global, provocará otro en la producción
1_e00053-plain	del capital. Ni son dos factores separados, que afectan	la_ART_el tasa_NC_tasa de_PREP_de inversión_NC_inversión,_CM_, es_VSfin_ser decir_VLinf_decir,_CM_, la_ART_el curva_NC_curva	de la eficiencia marginal del capital y el estado de la confianza
1_e00053-plain	debemos tener también en cuenta la otra faceta del estado de	la_ART_el confianza_NC_confianza,_CM_, es_VSfin_ser decir_VLinf_decir,_CM_, la_ART_el confianza_NC_confianza	de las instituciones de crédito en aquellos que buscan préstamos en ellas
1_e00053-plain	a medida que la ocupación crece. Es decir, que	la_ART_el teoría_NC_teoría de_PREP_de los_ART_el precios_NC_precio,_CM_, o_CC_o sea_VSfin_ser el_ART_el análisis_NC_análisis	de la relación entre los cambios en la cantidad de dinero y
1_e00079-plain	los demás tienen en común algo que invita a reunirlos en	un_ART_un grupo_NC_grupo general_ADJ_general,_CM_, a_PREP_a saber_VLinf_saber,_CM_, el_ART_el espíritu_NC_espíritu	del análisis numérico. Todos ellos han sido económetras. Su obra
1_e00079-plain	Peel realizó (en lo esencial) el librecambio, incluso	el_ART_el punto_NC_punto más_ADV_más difícil_ADJ_difícil del_PDEL_del programa_NC_programa,_CM_, a_PREP_a saber_VLinf_saber:_COLON_: la_ART_el supresión_NC_supresión	del gravamen a la importación de cereales. Aunque su gabinete v
1_e00079-plain	sería tan fácil de manejar. [7] Citaremos sólo	un_ART_un ejemplo_NC_ejemplo,_CM_, a_PREP_a saber_VLinf_saber,_CM_, el_ART_el esquema_NC_esquema	del propio profesor FRISCH, presentado en su potente artículo " PropagationProblems
1_e00091-plain	rebasando mínimos históricos. En la tercera semana de febrero,	la_ART_el curva_NC_curva de_PREP_de tipos_NC_tipo de_PREP_de interés_NC_interés,_CM_, es_VSfin_ser decir_VLinf_decir,_CM_, la_ART_el estructura_NC_estructura	de los rendimientos por plazos, presentaba la forma que se puede
1_e00091-plain	sobre los niveles mínimos de enero. De esta manera,	la_ART_el curva_NC_curva de_PREP_de tipos_NC_tipo de_PREP_de interés_NC_interés,_CM_, es_VSfin_ser decir_VLinf_decir,_CM_, la_ART_el estructura_NC_estructura	plazos-rendimientos, se ha aplanado en las últimas semanas aun manteniendo una
