id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H11_economy_1,none,[None],[None], de la Comunidad Europea y en particular,") EL CONSEJO DE LA UNIÓN EUROPEA, Visto el Tratado constitutivo de la Comunidad Europea y en particularel apartado 4 de su artículo 130 I, Vista la propuesta"
H11_economy_2,none,[None],[None], y que establece en particular,(en lo sucesivo IDT) para el período comprendido entre 1994 y que establece en particularlas actividades que deben llevarse a cabo en el campo de la
H11_economy_3,left,"['investigación', 'universidades']",[None], investigación universidades y empresas en particular las,"campo de la investigación en biomedicina y salud, realizan centro de investigación universidades y empresas en particular laspequeñas y medianas, establecidas en los Estados miembros, así como"
H11_economy_4,left,['resultados'],[None], los resultados de la IDT en particular con,"ejecución del presente programa incluye también actividades de difusión y explotación con los resultados de la IDT en particular conrespecto a las pequeñas y medianas empresas, así como actividades de"
H11_economy_5,none,[None],[None], la partición de las PYME en particular medidas,que en la ejecución del presente programa deben establecerse medidas para favorecer la partición de las PYME en particular medidasde estímulo tecnológico. Considerando que debe fomentarse el que la investigación-
H11_economy_6,none,[None],[None], Comprobará en particular,"contando para ello con la asistencia apropiada de expertos externos independientes. Comprobará en particularsi los objetivos, prioridades y recursos financieros siguen estando adaptados a"
H11_economy_7,none,[None],[None], la participación de las PYME en particular,la resolución de problemas. Se llevarán a cabo medidas que favorezcan la participación de las PYME en particularmedidas de estímulo tecnológico y de interacción entre los parques científicos y
H11_economy_8,none,[None],[None], necesarias para evaluar nuevos medicamentos en particular los,"El objetivo general es el desarrollo de las bases científicas y técnicas necesarias para evaluar nuevos medicamentos en particular losdestinados al tratamiento de las enfermedades neurológicas y mentales, inmunológicas y"
H11_economy_9,left,['pacientes'],[None], al bienestar de los pacientes En particular,Se estimulará el desarrollo de tecnologías adecuadas y las aplicaciones que contribuyan al bienestar de los pacientes En particularse realizarán en Europa ensayos para desarrollar la terapéutica genética somática en
H11_economy_10,both,['crónicas'],['investigación'], crónicas la investigación se dirigirá en particular a,"Vista la importancia socioeconómica que tiene el hacerse cargo de las enfermedades crónicas la investigación se dirigirá en particular alas enfermedades autoinmunes y a la inmunogenética, así como las alteraciones"
