Reference	LeftContext	Pivot	RightContext
1_m00003-plain	que el presente programa y su ejecución contribuyen a consolidar las sinergias	entre_PREP_entre las_ART_el actividades_NC_actividad de_PREP_de IDT_ACRNM_IDT que_CQUE_que,_CM_, en_PREP_en el_ART_el campo_NC_campo	de la investigación en biomedicina y salud, realizan centro de investigación
1_m00003-plain	PYME, en particular, medidas de estímulo tecnológico y de interacción	entre_PREP_entre los_ART_el parques_NC_parque científicos_ADJ_científico y_CC_y las_ART_el PYME_NC_pyme	de la industria de la salud, según las recomendaciones del Libro
1_m00003-plain	de investigación colaboran dentro de 400 redes creadas para favorecer la cooperación	entre_PREP_entre equipos_NC_equipo de_PREP_de todos_QU_todo los_ART_el países_NC_país	de la Comunidad Europea y del Espacio Económico Europeo y entre disciplinas
1_m00003-plain	los países de la Comunidad Europea y del Espacio Económico Europeo y	entre_PREP_entre disciplinas_NC_disciplina complementarias_ADJ_complementario,_CM_, con_PREP_con el_ART_el fin_NC_fin	de atacar aquellos problemas de salud que difícilmente podrían resolverse en un
1_m00003-plain	prioridades que hay que establecer, teniendo en cuenta las grandes variaciones	entre_PREP_entre los_ART_el sistemas_NC_sistema de_PREP_de salud_NC_salud	nacionales, las estructuras de investigación, las prácticas clínicas y los
1_m00003-plain	trabajo y la exposición a factores de riesgo; - la interacción	entre_PREP_entre los_ART_el factores_NC_factor de_PREP_de riesgo_NC_riesgo	en el lugar de trabajo y en el medio ambiente y la
1_m00003-plain	talasemia, enfermedades metabólicas congénitas debidas a peroxisomas anormales, etc.	Entre_PREP_entre las_ART_el actividades_NC_actividad se_SE_se incluirá_VLfin_incluir un_ART_un inventario_NC_inventario	de estas enfermedades poco frecuentes y, en colaboración con la parte
1_m00003-plain	la Comunidad; la reglamentación y la desreglamentación así como el equilibrio	entre_PREP_entre los_ART_el sistemas_NC_sistema de_PREP_de salud_NC_salud	financiados por los sectores públicos y privados; - los aspectos económicos
1_m00003-plain	en las interacciones celulares gracias al reconocimiento a nivel molecular, interacción	entre_PREP_entre células_NC_célula y_CC_y energías_NC_energía	y utilización de materiales biológicos y de sus propiedades, por ejemplo
1_m00003-plain	bioéticas nacionales, en el respeto de las diferencias culturales que existen	entre_PREP_entre estados_NC_estado,_CM_, se_SE_se crearán_VLfin_crear grupos_NC_grupo	de trabajo para preparar informes y estudios comparativos que interesen al Parlamento
1_m00003-plain	ejecución del programa en cuestión, como consecuencia de un acuerdo firmado	entre_PREP_entre la_ART_el Comunidad_NC_comunidad y_CC_y dicho_QU_dicho país_NC_país	tercero; al Centro Común de Investigación. La participación en el
1_m00003-plain	impidan la utilización de las nuevas tecnologías y establecer nexos de unión	entre_PREP_entre productores_NC_productor y_CC_y usuarios_NC_usuario	de tecnologías. Acciones concertadas, que consisten en coordinar, sobre
1_m00064-plain	2. 3). Figura Visión general de las conexiones sinápticas	entre_PREP_entre neuronas_NC_neurona Estructura_NC_estructura	interna La figura 2. 4 ilustra la estructura interna de una
1_m00064-plain	a emitir botones terminales. Por lo tanto, la diferencia existente	entre_PREP_entre las_ART_el propiedades_NC_propiedad regenerativas_ADJ_regenerativo del_PDEL_del SNC_NP_SNC	y el SNP se debe a diferencias en las características de las
1_m00064-plain	Bradbury, 1979). Este experimento demuestra que existe una barrera	entre_PREP_entre la_ART_el sangre_NC_sangre y_CC_y el_ART_el fluido_NC_fluido	que rodea las células del cerebro -la barrera hematoencefálica -. Algunas
1_m00064-plain	aberturas que permiten el intercambio libre de la mayoría de las sustancias	entre_PREP_entre el_ART_el plasma_NC_plasma sanguíneo_ADJ_sanguíneo y_CC_y el_ART_el líquido_NC_líquido	del exterior de los vasos sanguíneos que rodea a las células.
1_m00064-plain	el caso de la irrigación rostral, tampoco suele haber mucha mezcla	entre_PREP_entre la_ART_el sangre_NC_sangre de_PREP_de los_ART_el lados_NC_lado	derecho e izquierdo. Pero si un vaso sanguíneo se obtura (
1_m00064-plain	del cerebro y de la médula están contenidos en esta capa.	Entre_PREP_entre la_ART_el piamadre_NC_piamadre y_CC_y la_ART_el membrana_NC_membrana	aracnoides se sitúa el espacio subaracnoideo. Este espacio está lleno de
1_m00064-plain	si la frecuencia de oscilación de la onda varía, la distancia	entre_PREP_entre los_ART_el picos_NC_pico de_PREP_de las_ART_el ondas_NC_onda	variará de forma similar, pero de modo inverso. Las oscilaciones
1_m00064-plain	retina que detectan la presencia de la luz, y las conexiones	entre_PREP_entre la_ART_el retina_NC_retina y_CC_y el_ART_el cerebro_NC_cerebro	. Figura Músculos extraoculares que mueven los ojos LOS OJOS Los ojos
1_m00064-plain	de un mono rhesus (teñido con violeta de cresilo) CONEXIONES	ENTRE_PREP_entre LOS_ART_el OJOS_NC_ojo Y_ALFS_Y EL_NP_EL	CEREBRO Los axones de las células ganglionares de la retina llevan información
1_m00064-plain	menudo músculos estriados. Bases físicas de la contracción muscular La sinapsis	entre_PREP_entre el_ART_el botón_NC_botón terminal_ADJ_terminal de_PREP_de una_ART_un neurona_NC_neurona	eferente y la membrana de una fibra muscular se denomina unión neuromuscular
1_m00064-plain	incluyen la prueba de este reflejo.) El intervalo de tiempo	entre_PREP_entre el_ART_el golpe_NC_golpe en_PREP_en el_ART_el tendón_NC_tendón	y el inicio de la extensión de la pierna es de aproximadamente
1_m00064-plain	mecanismos sensoriales y motores cerebrales. En este caso, el intervalo	entre_PREP_entre el_ART_el estímulo_NC_estímulo y_CC_y el_ART_el inicio_NC_inicio	de la respuesta sería varias veces mayor que el tiempo requerido por
1_m00064-plain	Hemos visto que las hormonas son responsables del dimorfismo sexual (diferencias	entre_PREP_entre machos_NC_macho y_CC_y hembras_NC_hembra	) en la estructura del cuerpo y sus órganos. Las hormonas
1_m00064-plain	CONDUCTA SEXUAL DE LOS ANIMALES DE LABORATORIO Resulta difícil estudiar la interacción	entre_PREP_entre las_ART_el hormonas_NC_hormona sexuales_ADJ_sexual y_CC_y el_ART_el desarrollo_NC_desarrollo	del cerebro humano. Hemos de dirigir nuestra atención hacia dos fuentes
1_m00064-plain	sexual y, quizás en algunas especies, en la vinculación social	entre_PREP_entre los_ART_el miembros_NC_miembro de_PREP_de las_ART_el parejas_NC_pareja	sexuales (Carter, 1992b). Como veremos más adelante,
1_m00064-plain	almacenados en el cuerpo cuando éstos disminuyen. Debido a la demora	entre_PREP_entre la_ART_el ingestión_NC_ingestión y_CC_y la_ART_el recuperación_NC_recuperación	de los niveles normales de los almacenes, las conductas de ingesta
1_m00064-plain	un determinado estímulo. Por tanto, comporta el establecimiento de conexiones	entre_PREP_entre los_ART_el circuitos_NC_circuito involucrados_VLadj_involucrar en_PREP_en la_ART_el percepción_NC_percepción	y los involucrados en el movimiento. Esta conducta puede ser una
1_m00064-plain	respuesta condicionada (RC). La respuesta está condicionada al emparejamiento	entre_PREP_entre el_ART_el estímulo_NC_estímulo condicionado_VLadj_condicionar y_CC_y el_ART_el estímulo_NC_estímulo	incondicionado (véase la figura 14. 1). El condicionamiento
1_m00064-plain	ocurre porque el proceso de la evolución ha generado una sinapsis fuerte	entre_PREP_entre la_ART_el neurona_NC_neurona somatosensorial_NC_somatosensorial	y la neurona motora que causa el parpadeo (sinapsis S,
1_m00064-plain	, ello implica a la sinapsis T. Después de varios emparejamientos	entre_PREP_entre los_ART_el estímulos_NC_estímulo,_CM_, y_CC_y de_PREP_de varios_QU_varios incrementos_NC_incremento	de la fuerza sináptica, la sinapsis T llega a ser suficientemente
1_m00064-plain	involucra la asociación entre dos estímulos, el instrumental requiere la asociación	entre_PREP_entre una_ART_un respuesta_NC_respuesta y_CC_y un_ART_un estímulo_NC_estímulo	. El condicionamiento instrumental es una forma de aprendizaje más flexible y
1_m00064-plain	respuesta. Por tanto, el proceso de refuerzo establece una conexión	entre_PREP_entre los_ART_el circuitos_NC_circuito neurales_ADJ_neural involucrados_VLadj_involucrar en_PREP_en la_ART_el percepción_NC_percepción	(la visión de la palanca) y los involucrados en el
1_m00064-plain	sensoriales del cerebro, al aprendizaje estímulo-respuesta como el establecimiento de conexiones	entre_PREP_entre los_ART_el sistemas_NC_sistema sensoriales_ADJ_sensorial y_CC_y los_ART_el motores_NC_motor	, y al aprendizaje motor como el establecimiento de cambios en los
1_m00064-plain	los músculos, el aparato vestibular, los ojos o el contacto	entre_PREP_entre los_ART_el pies_NC_pie y_CC_y el_ART_el suelo_NC_suelo	. El aprendizaje motor difiere de otras formas de aprendizajes principalmente en
1_m00064-plain	hasta el momento consisten principalmente en cambios en el sistema sensorial,	entre_PREP_entre un_ART_un sistema_NC_sistema sensorial_ADJ_sensorial y_CC_y el_ART_el sistema_NC_sistema	motor o en el sistema motor. Pero obviamente, el aprendizaje
1_m00064-plain	situación en que se lleva a cabo esta conducta y la relación	entre_PREP_entre los_ART_el movimientos_NC_movimiento de_PREP_de la_ART_el otra_QU_otro persona_NC_persona	y los nuestros. Como veremos en el capítulo 15, un
1_m00064-plain	ellos i de manera apropiada. El aprendizaje estímulo-respuesta consiste en conexiones	entre_PREP_entre los_ART_el sistemas_NC_sistema perceptivos_ADJ_perceptivo y_CC_y los_ART_el sistemas_NC_sistema	motores. Las formas más importantes de aprendizaje estímulo-respuesta son el condicionamiento
1_m00064-plain	hacen gestos para complementar su escaso lenguaje verbal. La considerable disparidad	entre_PREP_entre la_ART_el producción_NC_producción y_CC_y la_ART_el comprensión_NC_comprensión	del habla hace que se asuma con demasiada rapidez que su comprensión
