Reference	LeftContext	Pivot	RightContext
1_m00092-plain	emparentados con los lisosomas convencionales que contienen hidrolasas ácidas. Los abundantes	depósitos_NC_depósito de_PREP_de glucógeno_NC_glucógeno pueden_VMfin_poder ser_VSinf_ser utilizados_VLadj_utilizar para_PREP_para la_ART_el glucólisis_NC_glucólisis	, lo que permite a estas células funcionar en condiciones anaeróbicas.
1_m00092-plain	permitir que el antígeno difunda en él (Feinberg). Este	método_NC_método de_PREP_de inmunodifusión_NC_inmunodifusión radial_ADJ_radial simple_ADJ_simple se_SE_se emplea_VLfin_emplear para_PREP_para la_ART_el estimación_NC_estimación	cuantitativa del antígeno. Figura 5-1 Reacción cuantitativa de precipitina entre anti-ovoalbúmina
1_m00238-plain	ADN de una oveja y un humano: luego se introducen en	células_NC_célula de_PREP_de oveja_NC_oveja que_CQUE_que se_SE_se utilizarán_VLfin_utilizar como_CSUBX_como donantes_NC_donante	de núcleos. Figura 3 POLLY (izquierda) es clónica transgénica
1_m00253-plain	en potencia. Es el caso del apéndice, un vestigio de	una_ART_un cavidad_NC_cavidad que_CQUE_que en_PREP_en nuestros_PPO_nuestro antepasados_NC_antepasado se_SE_se empleaba_VLfin_emplear para_PREP_para la_ART_el digestión_NC_digestión	y ha tiempo que no desempeña tal función. Dado que su
1_m00296-plain	formando una sola hebra. Figura 4 LA REACCIÓN EN CADENA DE	LA_ART_el POLIMERASA_NC_polimerasa,_CM_, abreviada_VLadj_abreviar RCP_NP_RCP,_CM_, se_SE_se utiliza_VLfin_utilizar para_PREP_para la_ART_el replicación_NC_replicación	de las moléculas de ADN que comienzan por la ciudad de partida
1_m00324-plain	de la vida bacteriana contiene otro elemento clave de nuestra historia.	Los_ART_el plásmidos_NC_plásmidos bacterianos_ADJ_bacteriano son_VSfin_ser usados_VLadj_usar como_CSUBX_como moléculas_NC_molécula	de ADN en las que otros fragmentos de ADN recortados por un
1_m00324-plain	las moléculas de lactosa (el azúcar de la leche).	Los_ART_el productos_NC_producto de_PREP_de esta_DM_este descomposición_NC_descomposición son_VSfin_ser usados_VLadj_usar como_CSUBX_como fuente_NC_fuente	de nutrición por la bacteria. Entre otras conclusiones, hallaron que
1_m00324-plain	muy populares, conocidos como la serie pBR. Cuando se crean	plásmidos_NC_plásmidos para_CSUBI_para ser_VSinf_ser usados_VLadj_usar como_CSUBX_como vectores_NC_vector	de clonación, varias características son deseables. Una es la capacidad
1_m00324-plain	contiene un área que siempre se hibrida con una sonda particular.	La_ART_el sonda_NC_sonda se_SE_se usa_VLfin_usar como_CSUBX_como punto_NC_punto	de partida para tratar de aislar el gen específico de la enfermedad
1_m00332-plain	lo es. El código utilizado para descifrar el ARN procedente del	núcleo_NC_núcleo difiere_VLfin_diferir ligeramente_ADV_ligero del_PDEL_del que_CQUE_que se_SE_se emplea_VLfin_emplear para_PREP_para el_ART_el ARN_NC_arn	de mitocondrias y cloroplastos. En el ARN mitocondrial, por ejemplo
1_m00334-plain	el tratamiento en cada uno de estos niveles. En general,	las_ART_el enfermedades_NC_enfermedad ya_ADV_ya descritas_VLadj_describir en_PREP_en este_DM_este libro_NC_libro se_SE_se emplean_VLfin_emplear como_CSUBX_como ejemplos_NC_ejemplo	, aunque también se presentan nuevos trastornos cuando es necesario para ilustrar
1_m00344-plain	una tal estructura complicada funcionar como gen? ¿ Cómo podía sintetizar	proteínas_NC_proteína con_PREP_con formas_NC_forma diferentes_ADJ_diferente,_CM_, para_CSUBI_para ser_VSinf_ser usadas_VLadj_usar como_CSUBX_como enzimas_NC_enzima	? ¿ Cómo podía ese tipo de gen complejo copiarse una generación
1_m00351-plain	moléculas de DNA siempre que se dé determinada secuencia de nucleótidos.	La_ART_el clase_NC_clase de_PREP_de enzimas_NC_enzima que_CQUE_que más_ADV_más se_SE_se utiliza_VLfin_utilizar para_PREP_para la_ART_el clonación_NC_clonación	de genes se conoce como tipo II; cada uno de estos
1_m00351-plain	codifique esa secuencia que tratar de aislar el gen natural; esta	aproximación_NC_aproximación se_SE_se utilizó_VLfin_utilizar para_PREP_para la_ART_el síntesis_NC_síntesis	bacteriana de la hormona polipeptídica somatostatina. Plásmidos como vectores de clonación
1_m00351-plain	para una posterior caracterización de los fragmentos insertados en sus plásmidos.	El_ART_el tamaño_NC_tamaño de_PREP_de los_ART_el plásmidos_NC_plásmidos que_CQUE_que se_SE_se utilizan_VLfin_utilizar como_CSUBX_como vectores_NC_vector	para clonar se ha ido reduciendo al mínimo posible. Esto se
1_m00362-plain	agar sólido o en la superficie de granos de cereales; ambos	métodos_NC_método se_SE_se utilizan_VLfin_utilizar para_PREP_para la_ART_el preparación_NC_preparación	de inóculos de esporas con fines industriales (Vezina y Singh,
1_m00362-plain	de vinagre por fermentación en un sistema discontinuo, las células de	bacterias_NC_bacteria acéticas_ADJ_acético procedentes_VLadj_proceder de_PREP_de lote_NC_lote producido_VLadj_producir se_SE_se utilizan_VLfin_utilizar como_CSUBX_como inóculo_NC_inóculo	para la producción del lote siguiente, lo que se realiza retirando
