Reference	LeftContext	Pivot	RightContext
1_m00215-plain	incesto ha quedado ya demostrada en numerosos primates; se admite que	el_ART_el mecanismo_NC_mecanismo responsable_ADJ_responsable es_VSfin_ser la_ART_el relación_NC_relación de_PREP_de familiaridad_NC_familiaridad	en edad temprana. El efecto Westermarck sirve de escaparate del enfoque
1_m00253-plain	los niveles de tensión arterial y de glucosa en sangre. A	veces_NC_vez,_CM_, el_ART_el resultado_NC_resultado es_VSfin_ser la_ART_el aparición_NC_aparición de_PREP_de hipertensión_NC_hipertensión	y diabetes del embarazo. Un paseo por cualquier hospital recoge testimonios
1_m00296-plain	instancia, la reproducción de uno mismo. Para un reduccionista estricto	la_ART_el vida_NC_vida es_VSfin_ser la_ART_el reproducción_NC_reproducción de_PREP_de ADN_NP_ADN	por medio de la ADN polimerasa. La ADN polimerasa constituye una
1_m00302-plain	del sistema de complemento y los fagocitos. Otra actividad importante de	la_ART_el respuesta_NC_respuesta inmunológica_ADJ_inmunológico humoral_ADJ_humoral es_VSfin_ser la_ART_el creación_NC_creación de_PREP_de células_NC_célula	memoria, una subserie de células B de elevada afinidad, que
1_m00304-plain	grado sufre cáncer de colon. Es probable, pues, que	el_ART_el riesgo_NC_riesgo de_PREP_de cáncer_NC_cáncer sea_VSfin_ser una_ART_un combinación_NC_combinación de_PREP_de genética_NC_genética	y entorno, con interacción entre ambos componentes. Se sabe que
1_m00305-plain	los miembros de familias con antecedentes positivos de un trastorno genético.	Un_ART_un ejemplo_NC_ejemplo sería_VSfin_ser la_ART_el realización_NC_realización de_PREP_de pruebas_NC_prueba	encaminadas a averiguar la presencia de una translocación recíproca equilibrada en las
1_m00306-plain	mediante interacciones proteína- proteína (dominio de activación en trans).	Los_ART_el dominios_NC_dominio proteicas_ADJ_proteico son_VSfin_ser agrupaciones_NC_agrupación de_PREP_de aminoácidos_NC_aminoácido	que desempeñan una función específica. Esta región se une a la
1_m00344-plain	las moléculas grandes de los sistemas vivientes sería suficiente para descubrir sus	misterios_NC_misterio ya_ADV_ya había_VHfin_haber sido_VSadj_ser la_ART_el inspiración_NC_inspiración de_PREP_de Watson_NP_Watson	y Crick. Parecía ser sólo cuestión de tiempo que el gran
1_m00351-plain	las técnicas de ingeniería genética. Un proyecto que ya está logrando	progresos_NC_progreso importantes_ADJ_importante es_VSfin_ser la_ART_el producción_NC_producción de_PREP_de ligninasas_NC_ligninasas	, que puede poner a nuestra disposición una fuente de alimentos inmensa
1_m00362-plain	incrementarse notablemente si se añade al sistema un precursor del metabolito.	El_ART_el ejemplo_NC_ejemplo clásico_ADJ_clásico de_PREP_de esta_DM_este situación_NC_situación es_VSfin_ser la_ART_el adición_NC_adición de_PREP_de ácido_NC_ácido	fenilacético en la producción de penicilina que actúa como precursor de la
1_m00362-plain	de la fermentación. Los parámetros que más frecuentemente se utilizan para	el_ART_el seguimiento_NC_seguimiento de_PREP_de la_ART_el alimentación_NC_alimentación son_VSfin_ser la_ART_el concentración_NC_concentración de_PREP_de oxígeno_NC_oxígeno	disuelto y el pH, aunque también se pueden utilizar otros como
1_m00362-plain	nutriente requerido por un mutante auxótrofo. El ejemplo más antiguo del	uso_NC_uso de_PREP_de un_ART_un cultivo_NC_cultivo discontinuo_ADJ_discontinuo alimentado_VLadj_alimentar es_VSfin_ser la_ART_el producción_NC_producción de_PREP_de levadura_NC_levadura	de panadería. Ya en 1915 se observó que un exceso de
1_m00457-plain	4. 1 es, en algunos aspectos, relativamente única.	La_ART_el reacción_NC_reacción clave_ADJ_clave es_VSfin_ser la_ART_el condensación_NC_condensación de_PREP_de glicina_NC_glicina	(2C) y glioxilato (2C) para formar hidroxiaspartato (
1_m00545-plain	sólo uno de los varios objetivos del Proyecto Genoma Humano La principal	justificación_NC_justificación del_PDEL_del proyecto_NC_proyecto Genoma_NC_genoma Humano_ADJ_humano es_VSfin_ser la_ART_el adquisición_NC_adquisición de_PREP_de información_NC_información	fundamental relativa a nuestra constitución genética, que pueda aumentar nuestra comprensión
1_m00708-plain	facial, que controla los músculos de la expresión facial, y	la_ART_el oliva_NC_oliva superior_ADJ_superior,_CM_, que_CQUE_que es_VSfin_ser una_ART_un estación_NC_estación de_PREP_de relé_NC_relé	de la información auditiva. Ambas estructuras surgen del mismo segmento del
1_m00731-plain	corresponde a los que carecen de él. Una alternativa sencilla a	la_ART_el metodología_NC_metodología de_PREP_de RFLP_NP_RFLP es_VSfin_ser la_ART_el detección_NC_detección de_PREP_de RSP_NP_RSP	mediante PCR, basada en el diseño de cebadores que flanqueen la
1_m00731-plain	fin de obtener anticuerpos quiméricos. Anticuerpos humanizados Un objetivo inmediato de	la_ART_el ingeniería_NC_ingeniería de_PREP_de anticuerpos_NC_anticuerpo fue_VSfin_ser la_ART_el producción_NC_producción de_PREP_de anticuerpos_NC_anticuerpo	humanizados, es decir, anticuerpos recombinantes entre roedores y humanos.
