id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H35_economy_1,left,"['utilizar', 'información', 'gramatical']",[None], utilizar información gramatical como el orden,"la afasia de Broca parece alterar la capacidad de los pacientes para utilizar información gramatical como el ordende las palabras, para decodificar el significado de la frase."
H35_economy_2,both,['métodos'],['tratamiento'], utilicen métodos especiales tales como tratamiento,"la aglutinación de células que presenten pocos determinantes a menos que se utilicen métodos especiales tales como tratamientoulterior con un reactivo antiglobulina. De forma similar, la mayor"
H35_economy_3,left,['utilizar'],[None], utilizar BCG como vehículo,"6, 243, con autorización). Se ha pensado en utilizar BCG como vehículode los antígenos requeridos para evocar la inmunidad de linfocitos T mediada"
H35_economy_4,right,[None],['antígeno'], utiliza xxx multivalente como antígeno,"con baja afinidad y sólo se observa un buen enlace cuando se utiliza xxx multivalente como antígeno). Sin embargo, debe considerarse una característica particular y exclusiva"
H35_economy_5,both,"['antisentido', 'moléculas antisentido']",['forma'], utilizaba las moléculas antisentido como forma,La explicación más lógica para ese comportamiento parecía ser que el organismo utilizaba las moléculas antisentido como forma(desconocida hasta entonces) de regular la expresión génica. Si
H35_economy_6,both,"['fago', 'lambda', 'fago lambda']",['vector'], utilizando el fago lambda como vector,de DNA clonados. Figura 15. 7 Pasos en la clonación utilizando el fago lambda como vectorSe extrae el DNA de una preparación de fago lambda y se
H35_economy_7,left,['percentil'],[None], utiliza el percentil como punto,"de CK superiores al percentil 95 en mujeres normales. Si se utiliza el percentil como puntode corte para identificar a las portadoras, entonces la sensibilidad de"
H35_economy_8,both,"['utilizar', 'lactosa']",['fuente'], utilizar la lactosa como fuente,una cepa de bacterias que contenían una mutación que no les permitía utilizar la lactosa como fuentede carbono (lac-) (Véase la exposición del operón lac
H35_economy_9,both,"['utilizar', 'lactosa']",['fuente'], utilizar la lactosa como fuente,(lacZ-) o permeasa (lacY) activas son incapaces de utilizar la lactosa como fuentede energía. También se encontraron mutaciones en el gen de la
H35_economy_10,left,"['ingeniería', 'genética', 'ingeniería genética']",[None], utilice la ingeniería genética como una alternativa,En tales casos parece no haber ninguna razón para que no se utilice la ingeniería genética como una alternativamás rápida que la mejora clásica y para salvar cualquier barrera que
H35_economy_11,left,"['métodos', 'relativamente', 'procesos']",[None], utilicen métodos relativamente violentos para procesos tales como la desproteinización,"durante el aislamiento; este aumento de la estabilidad permite que se utilicen métodos relativamente violentos para procesos tales como la desproteinizaciónde las preparaciones de plásmidos, haciendo que sea más fácil obtener"
H35_economy_12,both,"['utilizar', 'gen', 'híbrido']",['forma'], utilizar un gen híbrido como una forma,"estable en la célula hospedadora, por lo que puede ser necesario utilizar un gen híbrido como una formade «marcar» la proteína con un polipéptido protector; otra"
H35_economy_13,both,"['monóxido', 'carbono']",['sustrato'], utilizando monóxido de carbono como sustrato,"conocen como metilotrofos. Por otra parte, los que pueden crecer utilizando monóxido de carbono como sustratose les denominan carboxidotrofos y los que utilizan cianuro cianotrofos. Las"
H35_economy_14,right,[None],['dador'], utiliza xxx como dador,también de tres proteínas. Cabe destacar que el enzima purificado no utiliza xxx como dadorde electrones; en su lugar una de las tres proteínas componentes
H35_economy_15,both,['metanol'],['sustrato'], utilizan metanol como sustrato,"los rendimientos de crecimiento más bajos que caracterizan a las levaduras que utilizan metanol como sustrato. El formaldehído, la sustancia resultante de la reacción catalizada por"
H35_economy_16,both,['hidrocarburo'],['sustrato'], utilizaba el hidrocarburo como sustrato,"que se hablan utilizado todas las impurezas. Después era cuando se utilizaba el hidrocarburo como sustratopero en ese momento, en cultivos controlados, la presencia de"
H35_economy_17,both,"['ciclo', 'glioxilato', 'ciclo del glioxilato']",['ruta'], utilizan el ciclo del glioxilato como ruta,"hidrocarburos alifáticos contengan isocitrato liasa y malato sintetasa. En consecuencia, utilizan el ciclo del glioxilato como rutaanaplerótica. Un aspecto fascinante del crecimiento microbiano a partir de hidrocarburos"
H35_economy_18,both,"['oligonucleótidos', 'secuencia']",['cebadores'], utiliza oligonucleótidos de secuencia definida como cebadores,"un método de amplificación de secuencias de DNA in vitro, que utiliza oligonucleótidos de secuencia definida como cebadores(iniciadores) de la reacción Los oligonucleótidos cebadores A y B"
H35_economy_19,none,[None],[None], Utilizando un cDNA adecuado como molde,grupos de oligos degenerados correspondientes a regiones diferentes de la proteína. Utilizando un cDNA adecuado como moldepudo amplificarse un cDNA específico que abarcaba los codones comprendidos entre las
