Reference	LeftContext	Pivot	RightContext
1_m00092-plain	un anticuerpo insolubilizado para sacar por absorción a su superficie al correspondiente	antígeno_NC_antígeno de_PREP_de la_ART_el solución_NC_solución en_PREP_en que_CQUE_que se_SE_se encuentra_VLfin_encontrar como_CSUBX_como componente_NC_componente de_PREP_de una_ART_un mezcla_NC_mezcla	compleja. El residuo innecesario se elimina por lavado y el ligando
1_m00238-plain	ADN de una oveja y un humano: luego se introducen en	células_NC_célula de_PREP_de oveja_NC_oveja que_CQUE_que se_SE_se utilizarán_VLfin_utilizar como_CSUBX_como donantes_NC_donante de_PREP_de núcleos_NC_núcleo	. Figura 3 POLLY (izquierda) es clónica transgénica de una
1_m00253-plain	variada durante la gestación.) Parece obvio que el estado de	ansiedad_NC_ansiedad,_CM_, muy_ADV_muy común_ADJ_común,_CM_, se_SE_se originase_VLfin_originar como_CSUBX_como mecanismo_NC_mecanismo de_PREP_de defensa_NC_defensa	en situaciones de peligro para favorecer la huida y la evitación.
1_m00268-plain	mutantes heredadas del gen supresor de tumores p53 producen tumores en múltiples	sitios_NC_sitio,_CM_, en_PREP_en lo_ART_el que_CQUE_que se_SE_se conoce_VLfin_conocer como_CSUBX_como síndrome_NC_síndrome de_PREP_de Li-Fraumeni_NP_Li-Fraumeni	. Y los genes BRCA1 y BRCA2. recientemente aislados, son
1_m00304-plain	hubiese heredado el gen del retinoblastoma mutante originan en realidad tumores.	La_ART_el hipótesis_NC_hipótesis de_PREP_de Knudson_NP_Knudson se_SE_se conoce_VLfin_conocer como_CSUBX_como el_ART_el modelo_NC_modelo de_PREP_de carcinogénesis_NC_carcinogénesis	de dos impactos. Por lo tanto, el retinoblastoma hereditario estaría
1_m00305-plain	se estiman estos riesgos deben comentarse algunos conceptos básicos de probabilidad.	La_ART_el probabilidad_NC_probabilidad se_SE_se define_VLfin_definir como_CSUBX_como la_ART_el proporción_NC_proporción de_PREP_de veces_NC_vez	que ocurre un resultado específico en una serie de sucesos. Así
1_m00305-plain	una prueba se incrementa cuando aumenta la prevalencia de la enfermedad.	El_ART_el valor_NC_valor predictivo_ADJ_predictivo positivo_ADJ_positivo se_SE_se define_VLfin_definir como_CSUBX_como la_ART_el proporción_NC_proporción de_PREP_de pruebas_NC_prueba	positivas que en realidad son positivas verdaderas. Se incrementa cuando aumenta
1_m00306-plain	estos cromosomas emparejarse en la meiosis y segregarse correctamente. Genética mendeliana	CONCEPTOS_NC_concepto DEL_ACRNM_DEL CAPÍTULO_NC_capítulo Las_ART_el características_NC_característica se_SE_se heredan_VLfin_heredar bajo_PREP_bajo el_ART_el control_NC_control de_PREP_de factores_NC_factor	discretos llamados genes, que se transmiten de generación en generación a
1_m00306-plain	Hfr, o con alta frecuencia de recombinación. Debido a que	las_ART_el células_NC_célula Hfr_NP_Hfr se_SE_se comportan_VLfin_comportar como_CSUBX_como donantes_NC_donante de_PREP_de cromosomas_NC_cromosoma	, es una clase especial de células F +. Se advirtió
1_m00306-plain	la inteligencia, el color de la piel, la obesidad y	la_ART_el predisposición_NC_predisposición a_PREP_a ciertas_QU_cierto enfermedades_NC_enfermedad se_SE_se encuentran_VLfin_encontrar bajo_PREP_bajo el_ART_el control_NC_control de_PREP_de poligenes_NC_poligenes	. En la siguiente discusión, recuerde que en la herencia poligénica
1_m00306-plain	padres a hijos de acuerdo con los principios mendelianos. En este	capítulo_NC_capítulo estudiaremos_VLfin_estudiar la_ART_el variación_NC_variación fenotípica_ADJ_fenotípico que_CQUE_que se_SE_se produce_VLfin_producir como_CSUBX_como consecuencia_NC_consecuencia de_PREP_de cambios_NC_cambio	en el material genético que son más importantes que la alteración de
1_m00306-plain	y entre diferentes experimentos. 2. Mutación Aleatoria: por otro	lado_NC_lado,_CM_, si_CSUBX_si la_ART_el resistencia_NC_resistencia se_SE_se adquiere_VLfin_adquirir como_CSUBX_como consecuencia_NC_consecuencia de_PREP_de mutaciones_NC_mutación	aleatorias, ésta se adquirirá durante la incubación en el medio líquido
1_m00306-plain	posibilidad de que organismos como las bacterias puedan también «seleccionar»	un_ART_un conjunto_NC_conjunto específico_ADJ_específico de_PREP_de mutaciones_NC_mutación que_CQUE_que se_SE_se produzcan_VLfin_producir como_CSUBX_como resultado_NC_resultado de_PREP_de presiones_NC_presión	ambientales ha continuado intrigando a los genéticos. Dos investigaciones independientes,
1_m00310-plain	puntuación LOD (logarithm of the odds). Por convenio,	una_ART_un puntuación_NC_puntuación LOD_NP_LOD de_PREP_de 3_CARD_3,_CM_, 0_CARD_0 se_SE_se acepta_VLfin_aceptar como_CSUBX_como prueba_NC_prueba de_PREP_de ligamiento_NC_ligamiento	: una puntuación LOD de 3, 0 indica que la probabilidad
1_m00324-plain	contiene un área que siempre se hibrida con una sonda particular.	La_ART_el sonda_NC_sonda se_SE_se usa_VLfin_usar como_CSUBX_como punto_NC_punto de_PREP_de partida_NC_partida	para tratar de aislar el gen específico de la enfermedad. Se
1_m00327-plain	en 1829. Fue también él quien aportó los primeros datos anatómicos	indicativos_NC_indicativo de_PREP_de que_CQUE_que las_ART_el metástasis_NC_metástasis se_SE_se producen_VLfin_producir como_CSUBX_como consecuencia_NC_consecuencia de_PREP_de la_ART_el penetración_NC_penetración	de células cancerosas en la circulación, que así viajan hasta lugares
1_m00341-plain	pareadas y pliegues uretrales pareados. Desde este estado no diferenciado,	los_ART_el genitales_NC_genital externos_ADJ_externo masculinos_ADJ_masculino se_SE_se desarrollan_VLfin_desarrollar bajo_PREP_bajo la_ART_el influencia_NC_influencia de_PREP_de andrógenos_NC_andrógeno	, o, en ausencia de un testículo, se forman genitales
1_m00351-plain	lagunas importantes en nuestro conocimiento de los procesos que queremos modificar.	Resumen_NC_resumen La_NP_La ingeniería_NC_ingeniería genética_ADJ_genético se_SE_se define_VLfin_definir como_CSUBX_como el_ART_el cambio_NC_cambio de_PREP_de genes_NC_gen|genes	utilizando procesos in vitro, en contraste con los procedimientos de mejora
1_m00361-plain	muchos problemas en genética humana y médica. En su origen,	la_ART_el genética_NC_genética de_PREP_de las_ART_el células_NC_célula somáticas_ADJ_somático se_SE_se consideró_VLfin_considerar como_CSUBX_como una_ART_un vía_NC_vía de_PREP_de investigación_NC_investigación	de los trastornos cromosómicos y monogénicos en cultivos a largo plazo en
1_m00362-plain	induce por la presencia de manano. Por ello, extracto de	levadura_NC_levadura es_VSfin_ser el_ART_el sustrato_NC_sustrato que_CQUE_que habitualmente_ADV_habitual se_SE_se utiliza_VLfin_utilizar como_CSUBX_como fuente_NC_fuente de_PREP_de nitrógeno_NC_nitrógeno	en la fermentación destinada a la obtención de aquel antibiótico. Tabla
1_m00725-plain	el tumor y a mala calidad de vidas. Puesto que con	los_ART_el agentes_NC_agente citotóxicos_ADJ_citotóxico se_SE_se obtienen_VLfin_obtener bajas_ADJ_bajo tasas_NC_tasa de_PREP_de respuesta_NC_respuesta	y pueden presentarse graves efectos adversos, numerosos pacientes reciben tratamiento de
1_m00731-plain	mediante PCR. Clonación por homología basada en hibridación. Se marca	el_ART_el clon_NC_clon de_PREP_de DNA_NC_dna y_CC_y se_SE_se usa_VLfin_usar como_CSUBX_como sonda_NC_sonda de_PREP_de hibridación_NC_hibridación	para cribar bibliotecas genómicas o de cDNA. Un clon genómico marcado
