Reference,LeftContext,Pivot,RightContext,presence,candidate_term_left,candidate_term_right,occurrence
1_e00001-plain,", el elevado costo del transporte de las exportaciones demuestra que",la_ART_el falta_NC_falta de_PREP_de infraestructura_NC_infraestructura apropiada_ADJ_apropiado puede_VMfin_poder ser_VSinf_ser un_ART_un impedimento_NC_impedimento,grave para la integración. Países de integración rápida y lenta Si,none,[None],[None], la falta de infraestructura apropiada puede ser un impedimento
1_e00001-plain,de los productos manufacturados en el total de las exportaciones.,El_ART_el índice_NC_índice de_PREP_de integración_NC_integración es_VSfin_ser el_ART_el promedio_NC_promedio,simple de las variaciones de los cuatro indicadores en el período señalado,both,"['índice', 'integración', 'índice de integración']",['promedio'], El índice de integración es el promedio
1_e00001-plain,varían en forma considerable en las distintas regiones en desarrollo.,Los_ART_el aranceles_NC_arancel son_VSfin_ser un_ART_un factor_NC_factor,importante porque cuando los niveles de protección son elevados el crecimiento puede,both,['aranceles'],['factor'], Los aranceles son un factor
1_e00001-plain,países de integración escasa y lenta. Un factor que explica,la_ART_el relación_NC_relación entre_PREP_entre integración_NC_integración y_CC_y crecimiento_NC_crecimiento es_VSfin_ser el_ART_el efecto_NC_efecto,favorable de un sistema de comercio más libre y de la inversión,both,"['relación', 'integración', 'crecimiento']",['efecto'], la relación entre integración y crecimiento es el efecto
1_e00001-plain,del ambiente institucional y las políticas que adopten los gobiernos.,La_ART_el reforma_NC_reforma de_PREP_de las_ART_el políticas_NC_política es_VSfin_ser un_ART_un factor_NC_factor,fundamental La importancia que reviste la reforma de las políticas queda de,right,[None],['factor'], La reforma de las políticas es un factor
1_e00001-plain,el sector de exportaciones de la economía. Se estima que,la_ART_el inestabilidad_NC_inestabilidad macroeconómica_ADJ_macroeconómico fue_VSfin_ser la_ART_el causa_NC_causa,"de la disminución de hasta 0, 9 puntos porcentuales al año",left,"['inestabilidad', 'inestabilidad macroeconómica']",[None], la inestabilidad macroeconómica fue la causa
1_e00001-plain,necesario. El segundo aspecto en materia de políticas que afecta,el_ART_el ritmo_NC_ritmo de_PREP_de integración_NC_integración es_VSfin_ser la_ART_el disponibilidad_NC_disponibilidad,"y el mantenimiento adecuado de la infraestructura económica necesaria, en particular",left,"['ritmo', 'integración', 'ritmo de integración']",[None], el ritmo de integración es la disponibilidad
1_e00001-plain,e histórica que ayudará a determinar su éxito. Dado que,el_ART_el regionalismo_NC_regionalismo es_VSfin_ser un_ART_un fenómeno_NC_fenómeno,"bastante reciente y adopta múltiples formas, no admite conclusiones simples.",right,[None],['fenómeno'], el regionalismo es un fenómeno
1_e00001-plain,provenientes de países en desarrollo. Probablemente los principales beneficiarios de,la_ART_el eliminación_NC_eliminación gradual_ADJ_gradual del_PDEL_del Acuerdo_NC_acuerdo Multifibras_NP_Multifibras serán_VSfin_ser los_ART_el países_NC_país,productores más eficientes cuyas exportaciones a los mercados de los países industriales,left,['gradual'],[None], la eliminación gradual del Acuerdo Multifibras serán los países
1_e00001-plain,regionales Asia oriental Los extraordinarios resultados en materia de exportaciones y,el_ART_el dinamismo_NC_dinamismo de_PREP_de la_ART_el inversión_NC_inversión continuaron_VLfin_continuar siendo_VSger_ser los_ART_el pilares_NC_pilar,del acelerado crecimiento del producto en Asia oriental durante 1995. Por,left,"['dinamismo', 'inversión']",[None], el dinamismo de la inversión continuaron siendo los pilares
1_e00004-plain,"Hoa, que aceptan salarios más bajos, en tanto que",los_ART_el inmigrantes_NC_inmigrante como_ADV_como Françoise_ADJ_Françoise son_VSfin_ser el_ART_el blanco_NC_blanco,"del resentimiento de Jean-Paul. Entretanto, Duong se esfuerza por ahorrar",none,[None],[None], los inmigrantes como Françoise son el blanco
1_e00004-plain,inversiones en la capacitación y el mejoramiento de la salud y,la_ART_el nutrición_NC_nutrición de_PREP_de los_ART_el trabajadores_NC_trabajador son_VSfin_ser la_ART_el clave_NC_clave,no sólo del bienestar de la población activa sino también del buen,left,['trabajadores'],[None], la nutrición de los trabajadores son la clave
1_e00004-plain,en el mercado de trabajo. El salario más bajo de,las_ART_el mujeres_NC_mujer en_PREP_en una_ART_un economía_NC_economía dada_VLadj_dar puede_VMfin_poder ser_VSinf_ser reflejo_NC_reflejo,de su menor productividad en el empleo. En los países en,left,['economía'],[None], las mujeres en una economía dada puede ser reflejo
1_e00051-plain,". De este modo, podemos escribir xxx, donde todas",las_ART_el variables_NC_variable del_PDEL_del primer_ORD_nu|primero miembro_NC_miembro son_VSfin_ser constantes_NC_constante,. Si tomamos logaritmos y derivamos respecto del tiempo obtenemos la siguiente,left,['variables'],[None], las variables del primer miembro son constantes
1_e00051-plain,sido empleado en muchos trabajos por los economistas que creen que,las_ART_el actividades_NC_actividad de_PREP_de I_ALFS_I +_SYM_+ D_ALFS_D son_VSfin_ser una_ART_un fuente_NC_fuente,"importante de crecimiento económico. En el capítulo 9, analizaremos un",right,[None],['fuente'], las actividades de I D son una fuente
1_e00051-plain,"de esto, y como se podrá constatar más adelante,",la_ART_el tasa_NC_tasa de_PREP_de depreciación_NC_depreciación es_VSfin_ser un_ART_un determinante_NC_determinante,"importante de la tasa de crecimiento de la economía, por lo",left,"['tasa', 'depreciación', 'tasa de depreciación']",[None], la tasa de depreciación es un determinante
1_e00051-plain,"A partir de Barro (1974), se supone que",el_ART_el agente_NC_agente representativo_ADJ_representativo es_VSfin_ser una_ART_un familia_NC_familia,o un grupo de individuos vinculados unos con otros a través del,right,[None],['familia'], el agente representativo es una familia
1_e00051-plain,"aumentará las tasas de fertilidad en el futuro, puesto que",los_ART_el niños_NC_niño del_PDEL_del presente_ADJ_presente serán_VSfin_ser los_ART_el adultos_NC_adulto,"que ganarán estos mayores salarios. Mayores salarios futuros, por lo",none,[None],[None], los niños del presente serán los adultos
1_e00051-plain,donde se recogen ejemplos de modelos de crecimiento en los que,la_ART_el emigración_NC_emigración y_CC_y la_ART_el fertilidad_NC_fertilidad son_VSfin_ser variables_NC_variable,endógenas. Braun (1993) examina también modelos de migración y,both,['fertilidad'],['variables'], la emigración y la fertilidad son variables
1_e00051-plain,. La razón intuitiva que explica la ausencia de crecimiento en,el_ART_el estado_NC_estado estacionario_ADJ_estacionario es_VSfin_ser el_ART_el supuesto_NC_supuesto,de que los rendimientos del capital son decrecientes y se aproximan a,both,"['estacionario', 'estado estacionario']",['supuesto'], el estado estacionario es el supuesto
1_e00051-plain,a xxx. 2 Una medida cuantitativa de la duración de,la_ART_el transición_NC_transición Un_ART_un aspecto_NC_aspecto importante_ADJ_importante del_PDEL_del modelo_NC_modelo es_VSfin_ser la_ART_el rapidez_NC_rapidez,con la cual la economía alcanza el nuevo estado estacionario. Para,left,"['transición', 'modelo']",[None], la transición Un aspecto importante del modelo es la rapidez
1_e00051-plain,que la velocidad de convergencia es igual a xxx. Si,la_ART_el participación_NC_participación del_PDEL_del capital_NC_capital físico_ADJ_físico es_VSfin_ser xxx_NP_xxx,"y la participación del capital humano xxx, la tasa relevante del",left,"['capital', 'físico', 'capital físico', 'participación del capital', 'participación del capital físico']",[None], la participación del capital físico es xxx
1_e00051-plain,población. La expresión (3. 1) indica que,la_ART_el utilidad_NC_utilidad de_PREP_de los_ART_el individuos_NC_individuo es_VSfin_ser la_ART_el suma_NC_suma,"(es decir, la integral) de sus funciones instantáneas de",both,"['utilidad', 'individuos']",['suma'], la utilidad de los individuos es la suma
1_e00051-plain,"las herencias intergeneracionales. En este contexto, deberemos suponer que",los_ART_el agentes_NC_agente del_PDEL_del modelo_NC_modelo son_VSfin_ser dinastías_NC_dinastía,"o familias, siendo el número de individuos pertenecientes a cada dinastía",left,['modelo'],[None], los agentes del modelo son dinastías
1_e00051-plain,cero. Condiciones análogas se aplican al trabajo. Obsérvese que,el_ART_el argumento_NC_argumento de_PREP_de la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser el_ART_el consumo_NC_consumo,"per cápita (c minúscula), mientras que en la restricción",both,"['función', 'utilidad', 'función de utilidad']",['consumo'], el argumento de la función de utilidad es el consumo
1_e00051-plain,"y 2, una función de producción bastante sencilla que satisface",las_ART_el propiedades_NC_propiedad neoclásicas_ADJ_neoclásico es_VSfin_ser la_ART_el función_NC_función,Cobb-Douglas xxx. Esta función puede reescribirse en términos per cápita del,both,"['propiedades', 'neoclásicas', 'propiedades neoclásicas']",['función'], las propiedades neoclásicas es la función
1_e00051-plain,"comportan trayectorias de consumo poco lisas. Por lo tanto,",el_ART_el consumidor_NC_consumidor es_VSfin_ser partidario_NC_partidario,de intercambiar parte de su consumo futuro por consumo presente. Esto,none,[None],[None], el consumidor es partidario
1_e00051-plain,", representa el beneficio de consumir ahora [5].",El_ART_el término_NC_término de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el beneficio_NC_beneficio,"o rendimiento neto obtenido del ahorro y, por tanto, de",left,['término'],[None], El término de la derecha es el beneficio
1_e00051-plain,los economistas neoclásicos introdujeron el crecimiento exógeno de la productividad.,Una_ART_un pregunta_NC_pregunta a_PREP_a la_ART_el que_CQUE_que se_SE_se enfrentaron_VLfin_enfrentar fue_VSfin_ser el_ART_el tipo_NC_tipo,"de progreso técnico que se debía introducir. En la práctica,",right,[None],['tipo'], Una pregunta a la que se enfrentaron fue el tipo
1_e00051-plain,que las cosechas más recientes de capital son más productivas.,El_ART_el modelo_NC_modelo neoclásico_ADJ_neoclásico con_PREP_con progreso_NC_progreso técnico_ADJ_técnico Es_VSfin_ser el_ART_el momento_NC_momento,"de regresar al progreso técnico potenciador del trabajo, que expresamos en",left,"['modelo', 'neoclásico', 'progreso', 'modelo neoclásico', 'progreso técnico']",[None], El modelo neoclásico con progreso técnico Es el momento
1_e00051-plain,". En primer lugar, la tasa efectiva de descuento de",la_ART_el función_NC_función de_PREP_de utilidad_NC_utilidad es_VSfin_ser xxx_NP_xxx,", en lugar de ser xxx. En segundo lugar, la",left,"['función', 'utilidad', 'función de utilidad']",[None], la función de utilidad es xxx
1_e00051-plain,", en lugar de ser xxx. En segundo lugar,",la_ART_el tasa_NC_tasa efectiva_ADJ_efectivo de_PREP_de depreciación_NC_depreciación es_VSfin_ser xxx_NP_xxx,", en lugar de xxx. Si dejamos de lado estas dos",left,"['tasa', 'depreciación', 'tasa efectiva']",[None], la tasa efectiva de depreciación es xxx
1_e00051-plain,futuro al presente para lograr así un consumo más liso.,El_ART_el miembro_NC_miembro de_PREP_de la_ART_el derecha_NC_derecha es_VSfin_ser el_ART_el rendimiento_NC_rendimiento,"de la inversión, que se reduce a la productividad marginal neta",right,[None],['rendimiento'], El miembro de la derecha es el rendimiento
1_e00051-plain,"economía cerrada sin gobierno, el único activo del que existe",una_ART_un oferta_NC_oferta neta_ADJ_neto positiva_ADJ_positivo es_VSfin_ser el_ART_el capital_NC_capital,", por lo cual, necesariamente xxx. Si sustituimos este resultado",right,[None],['capital'], una oferta neta positiva es el capital
1_e00051-plain,"Si se utiliza una función de producción del tipo Cobb-Douglas,",la_ART_el producción_NC_producción agregada_VLadj_agregar vendrá_VLfin_venir dada_VLadj_dar por_PREP_por xxx_NP_xxx siendo_VSger_ser xxx_NP_xxx,. Supondremos que cada individuo representa una parte muy reducida del tamaño,left,['producción'],[None], la producción agregada vendrá dada por xxx siendo xxx
