Reference,LeftContext,Pivot,RightContext,presence,candidate_term_left,candidate_term_right,occurrence
1_e00001-plain,de manufacturas e inversión extranjera directa. También pertenecen a este grupo,"los_ART_el países_NC_país que_CQUE_que han_VHfin_haber introducido_VLadj_introducir reformas_NC_reforma,_CM_, tales_QU_tal como_CSUBX_como Argentina_NP_Argentina",", Chile y México en América Latina; Marruecos en el Oriente",none,[None],[None], los países que han introducido reformas tales como Argentina
1_e00004-plain,". Esta es una distinción bien fundada, y es razonable que",la_ART_el comunidad_NC_comunidad internacional_ADJ_internacional se_SE_se preocupe_VLfin_preocupar de_PREP_de hacer_VLinf_hacer respetar_VLinf_respetar tales_QU_tal normas_NC_norma,". Sin embargo, conviene que los acuerdos de comercio multilaterales se",none,[None],[None], la comunidad internacional se preocupe de hacer respetar tales normas
1_e00004-plain,", el uso de los "" años transcurridos desde la terminación de","los_ART_el estudios_NC_estudio ""_QT_"" como_CSUBX_como medida_NC_medida de_PREP_de la_ART_el experiencia_NC_experiencia tal_QU_tal vez_NC_vez",no sirva para describir adecuadamente las características de la experiencia de las,none,[None],[None], los estudios como medida de la experiencia tal vez
1_e00032-plain,"de Precio de Ejercicio más cercano. Para las demás series,",los_ART_el Precios_NC_precio de_PREP_de Ejercicio_NC_ejercicio se_SE_se fijan_VLfin_fijar de_PREP_de tal_QU_tal forma_NC_forma,"que, en relación con el primer Precio de Ejercicio, al",right,[None],['forma'], los Precios de Ejercicio se fijan de tal forma
1_e00032-plain,"de Precio de Ejercicio más cercano. Para las demás series,",los_ART_el Precios_NC_precio de_PREP_de Ejercicio_NC_ejercicio se_SE_se fijan_VLfin_fijar de_PREP_de tal_QU_tal forma_NC_forma,"que, en relación con el primer Precio de Ejercicio, al",right,[None],['forma'], los Precios de Ejercicio se fijan de tal forma
1_e00032-plain,"de Precio de Ejercicio más cercano. Para las demás series,",los_ART_el Precios_NC_precio de_PREP_de Ejercicio_NC_ejercicio se_SE_se fijan_VLfin_fijar de_PREP_de tal_QU_tal forma_NC_forma,"que, en relación con el primer Precio de Ejercicio, al",right,[None],['forma'], los Precios de Ejercicio se fijan de tal forma
1_e00032-plain,"de Precio de Ejercicio más cercano. Para las demás series,",los_ART_el Precios_NC_precio de_PREP_de Ejercicio_NC_ejercicio se_SE_se fijan_VLfin_fijar de_PREP_de tal_QU_tal forma_NC_forma,"que, en relación con el primer Precio de Ejercicio, al",right,[None],['forma'], los Precios de Ejercicio se fijan de tal forma
1_e00051-plain,de destacar que la condición (1. 6) requiere que,el_ART_el tamaño_NC_tamaño de_PREP_de la_ART_el externalidad_NC_externalidad sea_VSfin_ser tal_QU_tal que_CQUE_que xxx_NP_xxx,", con lo que tenemos rendimientos constantes del capital en un mundo",left,"['tamaño', 'externalidad', 'sea']",[None], el tamaño de la externalidad sea tal que xxx
1_e00051-plain,"en la cual xxx, de nuevo, es un índice de","la_ART_el tecnología_NC_tecnología en_PREP_en el_ART_el momento_NC_momento t_ALFS_t,_CM_, de_PREP_de tal_QU_tal forma_NC_forma","que xxx, además, xxx vuelve a ser una función homogénea",both,['tecnología'],['forma'], la tecnología en el momento t de tal forma
1_e00051-plain,"límite. Puesto que la función de utilidad, xxx, es",la_ART_el suma_NC_suma descontada_VLadj_descontar de_PREP_de un_ART_un número_NC_número infinito_ADJ_infinito de_PREP_de tales_QU_tal términos_NC_término,", xxx valdrá infinito, a menos que se restrinja el conjunto",both,"['suma', 'número', 'infinito']",['términos'], la suma descontada de un número infinito de tales términos
1_e00051-plain,"La ecuación (9. 11) indica, pues, que",el_ART_el precio_NC_precio de_PREP_de tales_QU_tal activos_NC_activo,"es un margen constante sobre el coste marginal, siendo el margen",left,['precio'],[None], el precio de tales activos
1_e00053-plain,de oferta de mano de obra se desplazará con cada movimiento de,"los_ART_el precios_NC_precio,_CM_, a_PREP_a menos_ADV_menos que_CQUE_que tal_QU_tal oferta_NC_oferta","sea función dependiente sólo del salario real. De este modo,",left,"['precios', 'menos']",[None], los precios a menos que tal oferta
1_e00053-plain,"consecuencia, el salario real bajando. Si esto es verdad,",la_ART_el equivalencia_NC_equivalencia de_PREP_de tales_QU_tal mercancías_NC_mercancía,con el salario nominal existente no es una indicación precisa de la,none,[None],[None], la equivalencia de tales mercancías
1_e00053-plain,"al caso de la ocupación plena, es una falacia aplicarla a",los_ART_el problemas_NC_problema de_PREP_de la_ART_el desocupación_NC_desocupación involuntaria_ADJ_involuntario -si_VLfin_-si tal_QU_tal cosa_NC_cosa,existe (¿ quien lo negará?) -. Los teóricos,left,"['desocupación', 'desocupación involuntaria']",[None], los problemas de la desocupación involuntaria tal cosa
1_e00053-plain,"mayor de bienes para asalariados, no se debe necesariamente a que",la_ART_el mano_NC_mano de_PREP_de obra_NC_obra demande_PE_demande mayor_ADJ_grande cantidad_NC_cantidad de_PREP_de tales_QU_tal bienes_NC_bien,; y el que la mano de obra esté dispuesta a aceptar,both,"['mano', 'obra', 'mayor', 'cantidad', 'mano de obra']",['bienes'], la mano de obra demande mayor cantidad de tales bienes
1_e00053-plain,las ventas) siempre se ajusta por sí mismo al precio de,"la_ART_el oferta_NC_oferta global_ADJ_global,_CM_, en_PREP_en tal_QU_tal forma_NC_forma","que cualquiera que sea el valor de N, el producto D",both,['global'],['forma'], la oferta global en tal forma
1_e00053-plain,sin el cual son fútiles todos los estudios relativos al volumen de,la_ART_el ocupación_NC_ocupación global_ADJ_global._FS_. Tal_QU_tal vez_NC_vez,un breve resumen de la teoría de la ocupación que se desarrollará,left,"['ocupación', 'global', 'ocupación global']",[None], la ocupación global Tal vez
1_e00053-plain,de uso tanto del producto como del precio de oferta global de,"un_ART_un volumen_NC_volumen determinado_ADJ_determinado de_PREP_de producción_NC_producción,_CM_, en_PREP_en tal_QU_tal forma_NC_forma",que ambos términos deben interpretarse como libres del costo de uso;,both,"['volumen', 'determinado', 'producción', 'volumen determinado']",['forma'], un volumen determinado de producción en tal forma
