Reference	LeftContext	Pivot	RightContext
1_m00092-plain	emparentados con los lisosomas convencionales que contienen hidrolasas ácidas. Los abundantes	depósitos_NC_depósito de_PREP_de glucógeno_NC_glucógeno pueden_VMfin_poder ser_VSinf_ser utilizados_VLadj_utilizar para_PREP_para la_ART_el glucólisis_NC_glucólisis	, lo que permite a estas células funcionar en condiciones anaeróbicas.
1_m00238-plain	ADN de una oveja y un humano: luego se introducen en	células_NC_célula de_PREP_de oveja_NC_oveja que_CQUE_que se_SE_se utilizarán_VLfin_utilizar como_CSUBX_como donantes_NC_donante	de núcleos. Figura 3 POLLY (izquierda) es clónica transgénica
1_m00296-plain	formando una sola hebra. Figura 4 LA REACCIÓN EN CADENA DE	LA_ART_el POLIMERASA_NC_polimerasa,_CM_, abreviada_VLadj_abreviar RCP_NP_RCP,_CM_, se_SE_se utiliza_VLfin_utilizar para_PREP_para la_ART_el replicación_NC_replicación	de las moléculas de ADN que comienzan por la ciudad de partida
1_m00351-plain	moléculas de DNA siempre que se dé determinada secuencia de nucleótidos.	La_ART_el clase_NC_clase de_PREP_de enzimas_NC_enzima que_CQUE_que más_ADV_más se_SE_se utiliza_VLfin_utilizar para_PREP_para la_ART_el clonación_NC_clonación	de genes se conoce como tipo II; cada uno de estos
1_m00351-plain	codifique esa secuencia que tratar de aislar el gen natural; esta	aproximación_NC_aproximación se_SE_se utilizó_VLfin_utilizar para_PREP_para la_ART_el síntesis_NC_síntesis	bacteriana de la hormona polipeptídica somatostatina. Plásmidos como vectores de clonación
1_m00351-plain	para una posterior caracterización de los fragmentos insertados en sus plásmidos.	El_ART_el tamaño_NC_tamaño de_PREP_de los_ART_el plásmidos_NC_plásmidos que_CQUE_que se_SE_se utilizan_VLfin_utilizar como_CSUBX_como vectores_NC_vector	para clonar se ha ido reduciendo al mínimo posible. Esto se
1_m00362-plain	agar sólido o en la superficie de granos de cereales; ambos	métodos_NC_método se_SE_se utilizan_VLfin_utilizar para_PREP_para la_ART_el preparación_NC_preparación	de inóculos de esporas con fines industriales (Vezina y Singh,
1_m00362-plain	de vinagre por fermentación en un sistema discontinuo, las células de	bacterias_NC_bacteria acéticas_ADJ_acético procedentes_VLadj_proceder de_PREP_de lote_NC_lote producido_VLadj_producir se_SE_se utilizan_VLfin_utilizar como_CSUBX_como inóculo_NC_inóculo	para la producción del lote siguiente, lo que se realiza retirando
1_m00362-plain	oxígeno. Marshy Pinkey (1985) describieron el proceso piloto para	el_ART_el cultivo_NC_cultivo de_PREP_de Fusarium_NP_Fusarium graminearum_NC_graminearum que_CQUE_que se_SE_se utilizó_VLfin_utilizar para_PREP_para la_ART_el producción_NC_producción	de microproteína xxx. Como ya se ha discutido (véase Capítulo
1_m00362-plain	induce por la presencia de manano. Por ello, extracto de	levadura_NC_levadura es_VSfin_ser el_ART_el sustrato_NC_sustrato que_CQUE_que habitualmente_ADV_habitual se_SE_se utiliza_VLfin_utilizar como_CSUBX_como fuente_NC_fuente	de nitrógeno en la fermentación destinada a la obtención de aquel antibiótico
