Reference,LeftContext,Pivot,RightContext,presence,candidate_term_left,candidate_term_right,occurrence
1_e00001-plain,"entre 1985 y 1994, la parte correspondiente al comercio mundial en",el_ART_el producto_NC_producto interno_ADJ_interno bruto_ADJ_bruto (_LP_(PIB_NP_PIB)_RP_),"fue tres veces superior a la registrada en la década anterior,",left,"['producto', 'bruto']",[None], el producto interno bruto PIB
1_e00001-plain,número de medidas antidumping notificadas a la Secretaría del Acuerdo General sobre,Aranceles_NC_arancel Aduaneros_ADJ_aduanero y_CC_y Comercio_NC_comercio (_LP_(GATT_NC_gatt)_RP_),"ha variado considerablemente en los últimos diez años, pero desde 1990",none,[None],[None], Aranceles Aduaneros y Comercio GATT
1_e00004-plain,"en las ciudades y sus alrededores, y el saneamiento ambiental.",La_ART_el erradicación_NC_erradicación de_PREP_de la_ART_el oncocercosis_NC_oncocercosis (_LP_(ceguera_NC_ceguera de_PREP_de los_ART_el ríos_NC_río)_RP_),en extensas regiones de África occidental alivió enormemente los sufrimientos de la,none,[None],[None], La erradicación de la oncocercosis ceguera de los ríos
1_e00004-plain,"en cuenta las diferencias de poder adquisitivo de las distintas monedas,",el_ART_el sueldo_NC_sueldo de_PREP_de un_ART_un ingeniero_NC_ingeniero en_PREP_en Francfort_NP_Francfort (_LP_(Alemania_NP_Alemania)_RP_),es 56 veces superior al salario de una trabajadora no calificada de,left,['ingeniero'],[None], el sueldo de un ingeniero en Francfort Alemania
1_e00004-plain,es 56 veces superior al salario de una trabajadora no calificada de,la_ART_el industria_NC_industria textil_ADJ_textil en_PREP_en Nairobi_NP_Nairobi (_LP_(Kenya_NP_Kenya)_RP_),", cuyo ingreso es, a su vez, varias veces superior",left,['industria'],[None], la industria textil en Nairobi Kenya
1_e00010-plain,"su presupuesto la cantidad de 50. 000 pesetas, que constituyó",el_ART_el capital_NC_capital fundacional_ADJ_fundacional (_LP_(fondo_NC_fondo de_PREP_de dotación_NC_dotación)_RP_),"para el establecimiento de la Caja, la finalidad de la Caja",left,['capital'],[None], el capital fundacional fondo de dotación
1_e00010-plain,"Valencia, y Banca Privada de Andorra), una gestora de",fondos_NC_fondo de_PREP_de inversión_NC_inversión (_LP_(Caixa_NP_Caixa Catalunya_NP_Catalunya Gestió_NP_Gestió)_RP_),", una gestora de fondos de pensiones (Gescat), un",left,"['inversión', 'fondos de inversión']",[None], fondos de inversión Caixa Catalunya Gestió
1_e00010-plain,"fondos de inversión (Caixa Catalunya Gestió), una gestora de",fondos_NC_fondo de_PREP_de pensiones_NC_pensión (_LP_(Gescat_NP_Gescat)_RP_),", un holding de seguros formado por tres compañías (Multinacional Aseguradora",none,[None],[None], fondos de pensiones Gescat
1_e00010-plain,"gestora de fondos de pensiones (Gescat), un holding de","seguros_NC_seguro formado_VLadj_formar por_PREP_por tres_CARD_tres compañías_NC_compañía (_LP_(Multinacional_NC_multinacional Aseguradora_ADJ_asegurador,_CM_, Ascat-Vida_NP_Ascat-Vida y_CC_y Ascat-Previsió_NP_Ascat-Previsió)_RP_)",", una sociedad de cartera (Invercartera), una compañía de",none,[None],[None], seguros formado por tres compañías Multinacional Aseguradora Vida y Previsió
1_e00010-plain,"por tres compañías (Multinacional Aseguradora, Ascat-Vida y Ascat-Previsió),",una_ART_un sociedad_NC_sociedad de_PREP_de cartera_NC_cartera (_LP_(Invercartera_NP_Invercartera)_RP_),", una compañía de leasing (Liscat), una compañía de",left,['cartera'],[None], una sociedad de cartera Invercartera
