Reference,LeftContext,Pivot,RightContext,presence,candidate_term_left,candidate_term_right,occurrence
1_e00001-plain,sur del Sahara y el Oriente Medio y Norte de Africa.,La_ART_el clasificación_NC_clasificación crediticia_ADJ_crediticio que_CQUE_que realizan_VLfin_realizar los_ART_el bancos_NC_banco u_CC_o otros_QU_otro organismos_NC_organismo,de clasificación de solvencia revela importantes diferencias entre los países en desarrollo,left,"['clasificación', 'crediticia', 'bancos', 'clasificación crediticia']",[None], La clasificación crediticia que realizan los bancos u otros organismos
1_e00001-plain,los flujos privados durante el próximo decenio. Pero es probable que,las_ART_el restricciones_NC_restricción fiscales_ADJ_fiscal y_CC_y otras_QU_otro presiones_NC_presión,limiten las posibilidades de crecimiento de la ayuda oficial. - Actual,left,['restricciones'],[None], las restricciones fiscales y otras presiones
1_e00001-plain,intercambio entre los países en desarrollo. Esta evolución encontrará apoyo en,la_ART_el aplicación_NC_aplicación de_PREP_de la_ART_el Ronda_VLfin_rondar Uruguay_NP_Uruguay y_CC_y otras_QU_otro iniciativas_NC_iniciativa,"de liberalización del comercio, el constante descenso de los costos del",none,[None],[None], la aplicación de la Ronda Uruguay y otras iniciativas
1_e00001-plain,"ese período, deben esperarse algunos efectos secundarios moderados, derivados de",las_ART_el remesas_NC_remesa de_PREP_de los_ART_el trabajadores_NC_trabajador y_CC_y de_PREP_de otros_QU_otro flujos_NC_flujo,de ingreso. Si bien los efectos directos de la Iniciativa Mediterránea,both,['trabajadores'],['flujos'], las remesas de los trabajadores y de otros flujos
1_e00004-plain,casi ocho veces superior al de Hoa en Ciudad Ho Chi-Minh.,Françoise_NP_Françoise y_CC_y otros_QU_otro trabajadores_NC_trabajador,del sector de servicios de los países de ingreso alto representan alrededor,right,[None],['trabajadores'], Françoise y otros trabajadores
1_e00004-plain,"instancia han fracasado, tanto en América Latina como en la antigua",Unión_NC_unión Soviética_ADJ_soviético o_CC_o en_PREP_en otros_QU_otro países_NC_país,. Lo que la población activa de cualquier país necesita es una,none,[None],[None], Unión Soviética o en otros países
1_e00004-plain,"las comunicaciones, los bienes, el capital, las personas y",las_ART_el ideas_NC_idea circulan_VLfin_circular hoy_ADV_hoy más_ADV_más rápida_ADJ_rápido y_CC_y económicamente_ADV_económico que_CQUE_que en_PREP_en cualquier_QU_cualquier otra_QU_otro época_NC_época,de la historia. Esto es lo que ha impulsado la integración,both,"['ideas', 'más']",['época'], las ideas circulan hoy más rápida y económicamente que en cualquier otra época
1_e00010-plain,33 salas de lectura y 13 centros de cultura) y a,la_ART_el concesión_NC_concesión de_PREP_de ayudas_VLfin_ayudar y_CC_y subvenciones_VLfin_subvencionar a_PREP_a otras_QU_otro entidades_NC_entidad,"e instituciones públicas y privadas para la realización de actividades culturales,",none,[None],[None], la concesión de ayudas y subvenciones a otras entidades
1_e00018-plain,"nombre indica, configura el marco jurídico para evitar el blanqueo de",dinero_NC_dinero procedente_VLadj_proceder del_PDEL_del narcotráfico_NC_narcotráfico o_CC_o del_PDEL_del crimen_NC_crimen organizado_VLadj_organizar._FS_. Por_PREP_por otro_QU_otro lado_NC_lado,", las actividades financieras son considerables y permiten un flujo extraordinario de",left,['dinero'],[None], dinero procedente del narcotráfico o del crimen organizado Por otro lado
1_e00051-plain,". Por ello, las condiciones económicas (como los salarios,",las_ART_el tasas_NC_tasa de_PREP_de interés_NC_interés y_CC_y otros_QU_otro elementos_NC_elemento,"de un tenor parecido) deberían, en principio, afectar a",left,"['tasas', 'interés', 'tasas de interés']",[None], las tasas de interés y otros elementos
1_e00051-plain,", 05 y el 0, 1, según como se mida",el_ART_el capital_NC_capital para_PREP_para usos_NC_uso residenciales_ADJ_residencial y_CC_y otros_QU_otro tipos_NC_tipo,de bienes duraderos. La participación del capital físico en los países,both,"['capital', 'usos']",['tipos'], el capital para usos residenciales y otros tipos
1_e00053-plain,"que una reducción del nivel existente de salarios nominales conduciría, mediante",huelgas_NC_huelga o_CC_o por_PREP_por cualquier_QU_cualquier otro_QU_otro medio_NC_medio,", a que parte de la mano de obra realmente ocupada se",right,[None],['medio'], huelgas o por cualquier otro medio
1_e00053-plain,"pequeña ganancia o perdida del trabajo, se efectuaría a expensas de",las_ART_el ganancias_NC_ganancia o_CC_o de_PREP_de otros_QU_otro elementos_NC_elemento,"del costo marginal, que no han sido tocados. Parece ser",left,['ganancias'],[None], las ganancias o de otros elementos
1_e00053-plain,"desocupación, la teoría cuantitativa del dinero, las ventajas evidentes del",laissez-faire_NC_laissez-faire con_PREP_con respecto_NC_respecto al_PAL_al comercio_NC_comercio exterior_ADJ_exterior y_CC_y muchas_QU_mucho otras_QU_otro cosas_NC_cosa,que habremos de poner en tela de juicio. En diversos lugares,left,['comercio'],[None], faire con respecto al comercio exterior y muchas otras cosas
1_e00053-plain,usados se aclararán con mayor cuidado en su oportunidad. En este,resumen_NC_resumen supondremos_VLfin_suponer que_CQUE_que el_ART_el salario_NC_salario nominal_ADJ_nominal y_CC_y el_ART_el costo_NC_costo de_PREP_de los_ART_el otros_QU_otro factores_NC_factor,"son constantes por unidad de trabajo empleado; pero esta simplificación,",both,"['supondremos', 'salario', 'nominal', 'salario nominal']","['costo', 'factores']", resumen supondremos que el salario nominal y el costo de los otros factores
1_e00053-plain,"dado, sea el efecto de estos cambios sobre la apreciación o",la_ART_el depreciación_NC_depreciación de_PREP_de los_ART_el valores_NC_valor y_CC_y otros_QU_otro bienes_NC_bien,", porque si un hombre disfruta de un aumento inesperado en el",both,"['depreciación', 'valores']",['bienes'], la depreciación de los valores y otros bienes
1_e00053-plain,""". Por otra parte, no intenta hacer deducción alguna con",respecto_NC_respecto a_PREP_a las_ART_el casas_NC_casa y_CC_y otros_QU_otro bienes_NC_bien,durables en manos de los individuos. Sus interesantes resultados para Estados,right,[None],['bienes'], respecto a las casas y otros bienes
1_e00053-plain,"los norteamericanos; ser más listo que el vulgo, y encajar",la_ART_el moneda_NC_moneda falsa_ADJ_falso o_CC_o que_CQUE_que se_SE_se está_VEfin_estar depreciando_VLger_depreciar a_PREP_a otra_QU_otro persona_NC_persona,. Esta batalla de viveza para prever las bases de la valoración,none,[None],[None], la moneda falsa o que se está depreciando a otra persona
1_e00053-plain,"debe ser permanente e indisoluble, como el matrimonio, excepto por",motivo_NC_motivo de_PREP_de muerte_NC_muerte o_CC_o de_PREP_de otra_QU_otro causa_NC_causa,"grave, y esto será un remedio útil para nuestros males contemporáneos",none,[None],[None], motivo de muerte o de otra causa
1_e00053-plain,", que se derivan de la facilidad que tiene para gastar su",ingreso_NC_ingreso en_PREP_en una_ART_un o_CC_o en_PREP_en otra_QU_otro forma_NC_forma,", cuando la duda lo asalta de este modo. Desde luego",both,['ingreso'],['forma'], ingreso en una o en otra forma
