Reference,LeftContext,Pivot,RightContext,presence,candidate_term_left,candidate_term_right,occurrence
1_e00001-plain,consolidarán su recuperación e incluso conseguirán un crecimiento superior al de todas,"las_ART_el regiones_NC_región en_PREP_en desarrollo_NC_desarrollo,_CM_, con_PREP_con excepción_NC_excepción de_PREP_de Asia_NP_Asia","oriental y Asia meridional. Aunque, según las previsiones, todas",left,['regiones en desarrollo'],[None], las regiones en desarrollo con excepción de Asia
1_e00001-plain,% en los dos últimos años. La inflación aumentó en todos,"los_ART_el países_NC_país de_PREP_de la_ART_el región_NC_región,_CM_, excepto_PREP_excepto en_PREP_en India_NP_India",", debido en gran parte a que no se alcanzaron las metas",none,[None],[None], los países de la región excepto en India
1_e00001-plain,"primer semestre de ese año, y lo propio ocurrió en otros","países_NC_país de_PREP_de la_ART_el región_NC_región,_CM_, excepto_PREP_excepto Chile_NP_Chile",y Colombia. En el segundo semestre de 1995 casi todos los,none,[None],[None], países de la región excepto Chile
1_e00004-plain,más pero ganan menos que los hombres debido a que tienen más,"responsabilidades_NC_responsabilidad en_PREP_en el_ART_el hogar_NC_hogar,_CM_, menos_ADV_menos educación_NC_educación","o menos acceso a empleos mejor remunerados. En la India,",right,[None],['menos'], responsabilidades en el hogar menos educación
1_e00032-plain,del Precio. - Las opciones no estarán sujetas a máximas de,"fluctuación_NC_fluctuación diaria_ADJ_diario,_CM_, excepto_PREP_excepto cuando_CSUBX_cuando las_ART_el condiciones_NC_condición",del mercado lo requieran. En estos casos el límite máximo de,both,"['fluctuación', 'fluctuación diaria']",['condiciones'], fluctuación diaria excepto cuando las condiciones
1_e00032-plain,del Precio. - Las opciones no estarán sujetas a máximas de,"fluctuación_NC_fluctuación diaria_ADJ_diario,_CM_, excepto_PREP_excepto cuando_CSUBX_cuando las_ART_el condiciones_NC_condición",del mercado lo requieran. En estos casos el límite máximo de,both,"['fluctuación', 'fluctuación diaria']",['condiciones'], fluctuación diaria excepto cuando las condiciones
1_e00032-plain,del Precio. - Las opciones no estarán sujetas a máximas de,"fluctuación_NC_fluctuación diaria_ADJ_diario,_CM_, excepto_PREP_excepto cuando_CSUBX_cuando las_ART_el condiciones_NC_condición",del mercado lo requieran. En estos casos el límite máximo de,both,"['fluctuación', 'fluctuación diaria']",['condiciones'], fluctuación diaria excepto cuando las condiciones
1_e00032-plain,del Precio. - Las opciones no estarán sujetas a máximas de,"fluctuación_NC_fluctuación diaria_ADJ_diario,_CM_, excepto_PREP_excepto cuando_CSUBX_cuando las_ART_el condiciones_NC_condición",del mercado lo requieran. En estos casos el límite máximo de,both,"['fluctuación', 'fluctuación diaria']",['condiciones'], fluctuación diaria excepto cuando las condiciones
1_e00051-plain,"que, en este modelo, el ahorro total es igual a","la_ART_el producción_NC_producción total_ADJ_total per_NC_per cápita_NC_cápita,_CM_, xxx_NP_xxx,_CM_, menos_ADV_menos el_ART_el consumo_NC_consumo","agregado C, la restricción presupuestaria se puede escribir de la siguiente",both,"['producción', 'total', 'per', 'cápita', 'producción total', 'per cápita']","['menos', 'consumo']", la producción total per cápita xxx menos el consumo
1_e00051-plain,que (9. 5) incluye las rentas de alquiler entre,"el_ART_el momento_NC_momento inicial_ADJ_inicial e_CC_y infinito_ADJ_infinito,_CM_, descontadas_VLadj_descontar al_PAL_al tipo_NC_tipo","de interés real xxx (en equilibrio, la tasa de interés",both,"['inicial', 'infinito']",['tipo'], el momento inicial e infinito descontadas al tipo
1_e00053-plain,"escala infinita de valores, todos ellos igualmente admisibles, y que","el_ART_el volumen_NC_volumen de_PREP_de ocupación_NC_ocupación es_VSfin_ser indeterminado_ADJ_indeterminado,_CM_, salvo_ADJ_salvo en_PREP_en la_ART_el medida_NC_medida",en que la desutilidad del trabajo marque un límite superior. Si,left,"['volumen', 'ocupación', 'volumen de ocupación']",[None], el volumen de ocupación es indeterminado salvo en la medida
1_e00053-plain,"ocupación no está, pues, fijado por la desutilidad marginal del","trabajo_NC_trabajo,_CM_, medida_NC_medida en_PREP_en salarios_NC_salario reales_ADJ_real,_CM_, excepto_PREP_excepto en_PREP_en el_ART_el caso_NC_caso",de que la oferta disponible de mano de obra para una magnitud,both,"['trabajo', 'salarios', 'reales', 'salarios reales']",['caso'], trabajo medida en salarios reales excepto en el caso
1_e00053-plain,"un complejo no homogéneo, que no puede medirse, hablando en","sentido_NC_sentido estricto_ADJ_estricto,_CM_, excepto_PREP_excepto en_PREP_en casos_NC_caso","especiales, como, por ejemplo, cuando todos los componentes de",both,"['sentido', 'sentido estricto']",['casos'], sentido estricto excepto en casos
1_e00053-plain,"sumamos la actividad de todas las empresas, no podemos expresarnos con","precisión_NC_precisión,_CM_, excepto_PREP_excepto en_PREP_en términos_NC_término",de cantidades de ocupación aplicadas a un equipo dado. Los conceptos,right,[None],['términos'], precisión excepto en términos
1_e00053-plain,"que si bien no son inalterables, no presentan probabilidades de sufrir","un_ART_un cambio_NC_cambio sustancial_ADJ_sustancial en_PREP_en periodos_NC_periodo cortos_ADJ_corto,_CM_, excepto_PREP_excepto en_PREP_en circunstancias_NC_circunstancia","anormales o revolucionarias. En una investigación histórica, o al comparar",both,"['cambio', 'periodos', 'periodos cortos']",['circunstancias'], un cambio sustancial en periodos cortos excepto en circunstancias
