Reference	LeftContext	Pivot	RightContext
1_m00003-plain	objetivos de la investigación sobre el sida,	la tuberculosis y otras enfermedades	infecciosas, cáncer, investigación farmacéutica, investigación sobre el cerebro e
1_m00003-plain	en los comportamientos sociales, el sida,	la tuberculosis y otras enfermedades	infecciosas repercutirán sobre la salud y la calidad de vida en la
1_m00064-plain	en la rata). La mayoría de	los mamíferos vuelven a copular una y otra vez	, mostrando una pausa más prolongada, denominada período refractario, después
1_m00064-plain	cuerpo necesita un grupo de receptores para medir	el volumen sanguíneo y otro para	medir el volumen celular. Del mismo modo que hay dos grupos
1_m00064-plain	. Como veremos en el capítulo 15,	un sistema especial que incluye el hipocampo y otras estructuras	relacionadas parece llevar a cabo funciones de coordinación necesarias para muchos tipos
1_m00064-plain	de una persona, la clase social,	el estatus económico y otros factores	similares afectan a la probabilidad de que una persona desarrolle un trastorno
1_m00092-plain	. Además de factores constitucionales mal conocidos por	los cuales una especie presenta susceptibilidad y otra resistencia	congénitas a ciertas infecciones, se ha identificado una serie de sistemas
1_m00092-plain	de las bacterias a las células epiteliales.	Los microbios y otras partículas	extrañas atrapadas en el moco son eliminadas mediante mecanismos como el movimiento
1_m00092-plain	como quimiotaxis; algunos microorganismos se adhieren a	la superficie del fagocito y otros proporcionan	de manera espontánea la señal de membrana de iniciación apropiada. No
1_m00092-plain	como mieloma múltiple, una célula productora de	una inmunoglobulina individual particular se divide una y otra vez	de la misma forma incontrolada que una célula cancerosa, Sin tener
1_m00092-plain	contra moléculas de anticuerpos individuales y discriminar entre	un anticuerpo monoclonal y otro sin	considerar las estructuras isotípicas o alotípicas (fig. 3-7).
1_m00092-plain	. Así, al menos en roedores,	el cambio de xxx a xxx y otras clases	parece encontrarse sobre todo bajo control de los linfocitos T presumiblemente mediado
1_m00092-plain	. 247). En el LES,	los complejos de DNA y otros antígenos	nucleares, junto a las inmunoglobulinas y el complemento pueden ser detectados
1_m00201-plain	plegada. Comprende al menos tres dominios:	la región de acoplamiento para una hormona u otro mensajero	, el componente que trasciende la membrana externa de la célula y
1_m00203-plain	las hembras. Si exponían hembras solas,	unas a sonidos normales y otras a	sonidos arrítmicos, simulados ambos por ordenador, y se las mezclaba
1_m00203-plain	por un gen. En nuestros días,	los estudios sobre moscas de la fruta y otros animales	ofrecen una visión del problema más próxima a las ideas de Galton
1_m00208-plain	células poseen dos copias de los genes,	una heredada de la madre y otra del	padre. A efectos de supervivencia, importa mucho tener dos copias
1_m00208-plain	matar pueden basarse en el conocimiento obtenido de	la investigación en ratones y otras especies	. Ahora resulta bastante fácil aislar una serie de genes que son
1_m00210-plain	la francesa Agencia Nacional del Sida, de	la empresa Hybridon en Worcester y otros evalúan	la eficacia de un oligómero dirigido contra el ARN del gen gag
1_m00210-plain	sanguíneas. Una regulación anormal del gen parece	la causa de ciertas leucemias humanas y otras enfermedades	. Gewirtz ha abordado otros ensayos para valorar la eficacia de la
1_m00210-plain	la unión y prolongar la actividad antisentido.	El grupo de Cohen y otros utilizan	modelos moleculares para diseñar oligonucleótidos con nuevas estructuras espaciales, al objeto
1_m00210-plain	enlazaban con las guaninas del ADN bicatenario.	El equipo de Hogan y otros demostraron	posteriormente que los oligonucleótidos diseñados para formar tripletes TAT y GGC en
1_m00211-plain	que ese tipo de ceguera venía determinado por	un defecto hereditario en uno u otro de	esos dos genes. En el futuro, las enzimas o los
1_m00211-plain	. Inhibe a los macrófagos. Tratamiento de	la artritis reumatoide y otras enfermedades	autoinmunitarias y relacionadas con los macrófagos. Así se fabrican y purifican
1_m00213-plain	somos. La memoria, y no sólo	la cara y otros rasgos	físicos, ayudan a definir a un individuo. Lo saben muy
1_m00213-plain	Doogie? Nada que tenga que ver con	la inteligencia matemática u otros tipos	de creatividad humana. Pero los Doogie distinguen entre objetos que han
1_m00213-plain	el ambiente productor de miedo - pero sin	las descargas en las patas- una y otra vez	. La mayoría de los animales necesitaba unas cinco repeticiones para «
1_m00213-plain	mejorar la memoria en pacientes moderadamente afectados por	la enfermedad de Alzheimer u otras demencias	. Se trataría de estimular la función de la memoria de las
