id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H6_economy_1,both,['tuberculosis'],"['enfermedades', 'infecciosas', 'enfermedades infecciosas']", la tuberculosis y otras enfermedades infecciosas,"ACTIVIDADES DE IDT PROPUESTAS Los objetivos de la investigación sobre el sida la tuberculosis y otras enfermedades infecciosas, cáncer, investigación farmacéutica, investigación sobre el cerebro e investigación"
H6_economy_2,both,['tuberculosis'],"['enfermedades', 'infecciosas', 'enfermedades infecciosas']", tuberculosis y otras enfermedades infecciosas,se tratarán principalmente por medio de una concertación. Investigación sobre sida tuberculosis y otras enfermedades infecciosasSe han obtenido progresos importantes en la lucha contra el sida gracias
H6_economy_3,both,['tuberculosis'],"['enfermedades', 'infecciosas', 'enfermedades infecciosas']", la tuberculosis y otras enfermedades infecciosas,"la inmigración y un cambio en los comportamientos sociales, el sida la tuberculosis y otras enfermedades infecciosasrepercutirán sobre la salud y la calidad de vida en la Comunidad"
H6_economy_4,right,[None],['científicas'], talleres u otras reuniones científicas,"y de preparación de eventuales acciones futuras; - conferencias, seminarios talleres u otras reuniones científicaso técnicas, incluidas las reuniones de coordinación intersectorial o multidisciplinar;"
H6_economy_5,both,"['cambios', 'temperatura']",['sensoriales'], cambios de temperatura y otros acontecimientos sensoriales,. Las dendritas de la mayoría de las neuronas unipolares detectan tacto cambios de temperatura y otros acontecimientos sensorialesque afectan a la piel. Los botones terminales La mayoría de
H6_economy_6,both,['glía'],['células'], glía y otras células de,". 3). El cerebro es una gran masa de neuronas glía y otras células desostén. Es el órgano más protegido del cuerpo, situado en"
H6_economy_7,none,[None],[None], y otros a través,a través de los efectos directos de la testosterona sobre receptores androgénicos y otros a travésde los efectos indirectos de la testosterona aromatizada sobre receptores estrogénicos (
H6_economy_8,left,['masticar'],[None], masticar y otras cosas que,"los movimientos de las orejas y el hocico, correr, oler masticar y otras cosas quepueden hacer los conejos). Pero antes de que tenga lugar"
H6_economy_9,right,[None],"['factores', 'similares', 'factores similares']", el estatus económico y otros factores similares,"Obviamente, el contexto familiar de una persona, la clase social el estatus económico y otros factores similaresafectan a la probabilidad de que una persona desarrolle un trastorno mental"
H6_economy_10,both,"['especie', 'susceptibilidad']","['resistencia', 'congénitas']", los cuales una especie presenta susceptibilidad y otra resistencia congénitas,"denominada "" Inmunología "". Además de factores constitucionales mal conocidos por los cuales una especie presenta susceptibilidad y otra resistencia congénitasa ciertas infecciones, se ha identificado una serie de sistemas antimicrobianos"
H6_economy_11,both,['microbios'],"['partículas', 'extrañas', 'partículas extrañas']", Los microbios y otras partículas extrañas,protectora que bloquea la adherencia de las bacterias a las células epiteliales Los microbios y otras partículas extrañasatrapadas en el moco son eliminadas mediante mecanismos como el movimiento ciliar
H6_economy_12,left,"['inmunoglobulina', 'individual', 'inmunoglobulina individual']",[None], una inmunoglobulina individual particular se divide una y otra vez de,"la enfermedad humana conocida como mieloma múltiple, una célula productora de una inmunoglobulina individual particular se divide una y otra vez dela misma forma incontrolada que una célula cancerosa, Sin tener en"
H6_economy_13,both,"['terapéutica', 'rayos']","['agentes', 'mitóticos']", accidental o terapéutica a rayos X u otros agentes mitóticos,y este tratamiento es crucial en los casos en que la exposición accidental o terapéutica a rayos X u otros agentes mitóticoslesiona las células hematopoyéticas. Aún se tienen dudas sobre la estirpe
H6_economy_14,right,[None],"['citoquinas', 'provenientes']", hematógena libera moléculas que desencadenan TNF y otras citoquinas provenientes,"meta más práctica. En el caso del paludismo, la forma hematógena libera moléculas que desencadenan TNF y otras citoquinas provenientesde monocitos y la secreción de estos mediadores es responsable de los"
H6_economy_15,both,"['virus', 'influenza']",['virus'], adaptación al frío del virus influenza y otros virus respiratorios,especies supresoras de microbacterias en el medio local. La atenuación por adaptación al frío del virus influenza y otros virus respiratoriosparece promisoria; dos microorganismos pueden crecer a temperaturas menores (32-34
H6_economy_16,both,"['glomerulonefritis', 'ovejas']","['modelos', 'animales', 'modelos animales']", de Freund produce glomerulonefritis en ovejas y otros modelos animales,La inyección de preparados xxx heterólogos de reacción cruzada en adyuvante completo de Freund produce glomerulonefritis en ovejas y otros modelos animalesde experimentación. Pueden captarse los anticuerpos anti-xxx por coloración por inmunofluorescencia
H6_economy_17,both,['complejos'],"['antígenos', 'antígenos nucleares']", los complejos de DNA y otros antígenos nucleares,"depuración efectiva (véase p. 247). En el LES los complejos de DNA y otros antígenos nucleares, junto a las inmunoglobulinas y el complemento pueden ser detectados por"
H6_economy_18,both,"['sonidos', 'normales']",['sonidos'], unas a sonidos normales y otras a sonidos,"la hora de estimular a las hembras. Si exponían hembras solas unas a sonidos normales y otras a sonidosarrítmicos, simulados ambos por ordenador, y se las mezclaba luego"
