id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H34_economy_1,left,['área'],[None], el área de los servicios de salud necesidades,"oportunistas y los nuevos agentes infecciosos; - la investigación socioeconómica en el área de los servicios de salud necesidadesen materia de cuidados y prevención, análisis de las consecuencias socioeconómicas"
H34_economy_2,right,[None],['validación'], La farmacotoxicología validación,", la seguridad y la calidad de los nuevos medicamentos. - La farmacotoxicología validaciónprevia de métodos alternativos in vitro que puedan utilizar células y tejidos"
H34_economy_3,none,[None],[None], La farmacovigilancia desarrollo,contribución de la imaginería funcional a la investigación en neurofarmacología. - La farmacovigilancia desarrollode redes de vigilancia para la detección precoz de los posibles efectos
H34_economy_4,left,"['ensayos', 'ensayos clínicos']",[None], Los ensayos clínicos apoyo,"control de casos, registros transnacionales y estudios de cohorte. - Los ensayos clínicos apoyoa la colaboración intraeuropea en ensayos clínicos aleatorios de calidad científica elevada"
H34_economy_5,both,['robótica'],['robótica'], la robótica de intervención mínima robótica,"introducirlos en el mercado de la salud. - las técnicas y la robótica de intervención mínima robótica, imágenes tridimensionales, tecnologías de las microestructuras y nanotecnología para su"
H34_economy_6,left,"['técnicas', 'diagnóstico', 'técnicas de diagnóstico']",[None], las técnicas de diagnóstico por la imagen resonancia,"orientaciones ergonómicas de los quirófanos para la cirugía poco invasiva; - las técnicas de diagnóstico por la imagen resonanciamagnética, ultrasonidos, biomagnetismo, tomografía por emisión de positrones,"
H34_economy_7,none,[None],[None], Los campos de interés serán las tecnologías,"eléctrica permite obtener resultados que abren nuevas posibilidades de aplicación clínica. Los campos de interés serán las tecnologíasreferentes a las investigaciones celulares, la orientación de las células,"
H34_economy_8,none,[None],[None], la asignación de recursos aspectos,artificial de la vida por técnicas médicas y la reanimación; - la asignación de recursos aspectoséticos y sociales de las opciones que deben tomarse en materia de
H34_economy_9,left,['transplante'],[None], el transplante utilización,"en materia de presupuesto de salud y asignación de recursos; - el transplante utilizaciónde tejidos y órganos humanos, así como la organización de bancos"
H34_economy_10,left,"['precisiones', 'siguientes']",[None], programa las precisiones siguientes la participación,"J. No obstante, se aplicarán a la ejecución del presente programa las precisiones siguientes la participaciónen el programa está abierta, con ayuda financiera de la Comunidad"
H34_economy_11,both,"['cavidad', 'craneal', 'canal', 'vertebral', 'cavidad craneal']",['encéfalo'], la cavidad craneal y del canal vertebral el encéfalo,constituido por las partes del sistema nervioso que se sitúan dentro de la cavidad craneal y del canal vertebral el encéfaloy la médula espinal. El sistema nervioso periférico (SNP)
H34_economy_12,right,[None],['enzima'], la unión de A y B el enzima,"constituyentes, A y B. El enzima X da lugar a la unión de A y B el enzimaY da lugar a la ruptura de AB. (Para que"
H34_economy_13,both,"['células', 'existencia']",['células'], células con una existencia muy protegida las células,"SNC, pero hace mucho más que esto. Las neuronas son células con una existencia muy protegida las célulasgliales las amortiguan física y químicamente en relación con el resto del"
