id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H33_economy_1,both,"['pérdida', 'sodio', 'agua']",['sodio'], una pérdida de sodio como de agua es decir el sodio,"de beber. Además, debido a que la hipovolemia implica tanto una pérdida de sodio como de agua es decir el sodiocontenido en el fluido isotónico que se perdió), la sed"
H33_economy_2,both,"['relativamente', 'aislado']",['paciente'], el déficit debe hallarse relativamente aislado es decir el paciente,"músculos involucrados en el habla no se considera afasia. Además, el déficit debe hallarse relativamente aislado es decir el pacienteha de dar la impresión de ser consciente de lo que pasa"
H33_economy_3,both,"['valencia', 'antígeno', 'valencia del antígeno']",['número'], una indicación de la valencia del antígeno es decir el número,figura 5-1 presenta el contenido de anticuerpo del suero inmune y además una indicación de la valencia del antígeno es decir el númeroefectivo de sitios dominantes de combinación (determinantes). Esto puede
H33_economy_4,both,"['genes', 'responsables', 'imitador', 'genes responsables']",['genes'], los genes responsables de su talento imitador es decir los genes,"rango social, multiplicando sus oportunidades de supervivencia y ayudando a difundir los genes responsables de su talento imitador es decir los genesque dieron lugar a sus grandes cerebros especializados en una imitación atenta"
H33_economy_5,both,['trastorno'],['dislexia'], un trastorno definido es decir la dislexia,"extremo último de un continuo de competencia para la lectura, no un trastorno definido es decir la dislexiapodría representar un grado cuantitativo, más que una desviación cualitativa,"
H33_economy_6,left,"['distribución', 'gaussiana']",[None], una distribución gaussiana de la energía es decir la energía,mejor de lo que parece. El láser que hemos elegido produce una distribución gaussiana de la energía es decir la energíaque forma la mancha focal se ajusta a una curva acampanada.
H33_economy_7,both,"['tasa', 'variación', 'tasa de variación']",['velocidad'], la llamada tasa de variación de fondo es decir la velocidad,el método del «reloj molecular». En biología se calcula la llamada tasa de variación de fondo es decir la velocidado tasa de variación de las secuencias de ADN cuando no se
H33_economy_8,both,['tumor'],['alelo'], el tumor es decir el alelo,"copias mutantes del gen RB en la misma célula retinal para desarrollar el tumor es decir el alelomutante es recesivo). En la forma familiar, se hereda"
H33_economy_9,left,"['carácter', 'asombroso']",[None], un carácter asombroso a saber la universalidad,"clamorosa. Pero había otro dato importante que confería a esta semejanza un carácter asombroso a saber la universalidadde la computadora de Turing. Pese a su sencillez, cabe"
H33_economy_10,left,['secuencia'],[None], la secuencia debida de operaciones es decir la ejecución,"se necesita comenzar con la información de entrada correcta, y aplicar la secuencia debida de operaciones es decir la ejecuciónde un programa. El ADN constituye una forma magnífica de almacenar"
