id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H16_economy_1,left,"['sustancia', 'transmisora', 'peptídica', 'sustancia transmisora']",[None], cualquier otra sustancia transmisora peptídica excepto en que,"almacenamiento y la liberación de vasopresina son exactamente iguales a los de cualquier otra sustancia transmisora peptídica excepto en quela vasopresina afecta a receptores situados en otra parte del cuerpo,"
H16_economy_2,left,"['torrente', 'sanguíneo', 'torrente sanguíneo']",[None], mayor parte al torrente sanguíneo excepto cuando es,"célula fagocítica importante, el neutrófilo polimorfonuclear, está confinado en su mayor parte al torrente sanguíneo excepto cuando esreclutado hacia los sitios de inflamación aguda. Figura 1-5 Ultraestructura de"
H16_economy_3,left,"['sonido', 'rítmica', 'menos']",[None], generan un sonido sin rítmica menos eficaz,". Los machos con un gen period inactivo, en cambio, generan un sonido sin rítmica menos eficazpor lo que se ve, a la hora de estimular a"
H16_economy_4,both,"['especies', 'similar']",['pequeñas'], de ambas especies es similar salvo unas pequeñas,canto que difiere en los intervalos entre pulsos. El gen period de ambas especies es similar salvo unas pequeñasdiferencias en la región central. Mediante manipulación por ingeniería genética se
H16_economy_5,none,[None],[None], hasta un punto sin precedentes excepto en el,del sistema inmunitario es que sus proteínas se han diversificado y especializado hasta un punto sin precedentes excepto en elsistema nervioso. Son contadas las moléculas del sistema inmunitario realmente nuevas
H16_economy_6,left,['genes'],[None], sitúan fuera de los genes salvo un,", liar el ADN para que determine proteínas no funcionales. Se sitúan fuera de los genes salvo unpor ciento que cae en su interior. De este 10 por"
H16_economy_7,right,[None],['menos'], cinco millones o sea menos de,aparte en un período de menos de 1 / 2SaVa parte de cinco millones o sea menos de. 000. Con una tercera serie de datos sobre cambios en
H16_economy_8,both,['genes'],"['menos', 'probable']", más próximos estén dos genes menos probable es,"genes se encontraban alejados en el cromosoma. Por consiguiente, cuanto más próximos estén dos genes menos probable esque ocurra entre ellos un intercambio. Morgan propuso el término entrecruzamiento"
H16_economy_9,left,"['herencia', 'monogénica', 'herencia monogénica']",[None], como en la herencia monogénica salvo accidentes,"En la siguiente discusión, recuerde que en la herencia poligénica, como en la herencia monogénica salvo accidentesel genotipo se fija en el momento de la fecundación, mientras"
H16_economy_10,left,"['después', 'generación']",[None], después de una tercera generación excepto que la,"la posición del 14N en el gradiente. Resultados parecidos se obtuvieron después de una tercera generación excepto que laproporción de la banda de 14N se incrementó. De nuevo,"
