id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H22_economy_1,left,"['mecanismo', 'responsable', 'mecanismo responsable']",[None], el mecanismo responsable es la relación de familiaridad,incesto ha quedado ya demostrada en numerosos primates; se admite que el mecanismo responsable es la relación de familiaridaden edad temprana. El efecto Westermarck sirve de escaparate del enfoque
H22_economy_2,both,['resultado'],"['aparición', 'hipertensión']", veces el resultado es la aparición de hipertensión,los niveles de tensión arterial y de glucosa en sangre. A veces el resultado es la aparición de hipertensióny diabetes del embarazo. Un paseo por cualquier hospital recoge testimonios
H22_economy_3,both,['vida'],['reproducción'], la vida es la reproducción de ADN,"instancia, la reproducción de uno mismo. Para un reduccionista estricto la vida es la reproducción de ADNpor medio de la ADN polimerasa. La ADN polimerasa constituye una"
H22_economy_4,both,"['respuesta', 'inmunológica', 'humoral', 'respuesta inmunológica', 'inmunológica humoral']","['células', 'creación de células']", la respuesta inmunológica humoral es la creación de células,"del sistema de complemento y los fagocitos. Otra actividad importante de la respuesta inmunológica humoral es la creación de célulasmemoria, una subserie de células B de elevada afinidad, que"
H22_economy_5,both,"['riesgo', 'cáncer', 'riesgo de cáncer']","['combinación', 'genética']", el riesgo de cáncer sea una combinación de genética,"grado sufre cáncer de colon. Es probable, pues, que el riesgo de cáncer sea una combinación de genéticay entorno, con interacción entre ambos componentes. Se sabe que"
H22_economy_6,both,['ejemplo'],['pruebas'], Un ejemplo sería la realización de pruebas,los miembros de familias con antecedentes positivos de un trastorno genético. Un ejemplo sería la realización de pruebasencaminadas a averiguar la presencia de una translocación recíproca equilibrada en las
H22_economy_7,both,"['dominios', 'proteicas']",['aminoácidos'], Los dominios proteicas son agrupaciones de aminoácidos,mediante interacciones proteína- proteína (dominio de activación en trans). Los dominios proteicas son agrupaciones de aminoácidosque desempeñan una función específica. Esta región se une a la
H22_economy_8,left,['misterios'],[None], misterios ya había sido la inspiración de Watson,las moléculas grandes de los sistemas vivientes sería suficiente para descubrir sus misterios ya había sido la inspiración de Watsony Crick. Parecía ser sólo cuestión de tiempo que el gran
H22_economy_9,right,[None],['producción'], progresos importantes es la producción de ligninasas,"las técnicas de ingeniería genética. Un proyecto que ya está logrando progresos importantes es la producción de ligninasas, que puede poner a nuestra disposición una fuente de alimentos inmensa"
H22_economy_10,both,"['ejemplo', 'clásico', 'ejemplo clásico']","['adición', 'ácido']", El ejemplo clásico de esta situación es la adición de ácido,incrementarse notablemente si se añade al sistema un precursor del metabolito. El ejemplo clásico de esta situación es la adición de ácidofenilacético en la producción de penicilina que actúa como precursor de la
H22_economy_11,right,[None],"['concentración', 'oxígeno', 'concentración de oxígeno']", el seguimiento de la alimentación son la concentración de oxígeno,"de la fermentación. Los parámetros que más frecuentemente se utilizan para el seguimiento de la alimentación son la concentración de oxígenodisuelto y el pH, aunque también se pueden utilizar otros como"
H22_economy_12,both,"['cultivo', 'discontinuo', 'cultivo discontinuo']","['producción', 'levadura', 'producción de levadura']", uso de un cultivo discontinuo alimentado es la producción de levadura,nutriente requerido por un mutante auxótrofo. El ejemplo más antiguo del uso de un cultivo discontinuo alimentado es la producción de levadurade panadería. Ya en 1915 se observó que un exceso de
H22_economy_13,both,"['reacción', 'reacción clave']","['condensación', 'glicina']", La reacción clave es la condensación de glicina,"4. 1 es, en algunos aspectos, relativamente única. La reacción clave es la condensación de glicina(2C) y glioxilato (2C) para formar hidroxiaspartato ("
H22_economy_14,right,[None],['información'], justificación del proyecto Genoma Humano es la adquisición de información,"sólo uno de los varios objetivos del Proyecto Genoma Humano La principal justificación del proyecto Genoma Humano es la adquisición de informaciónfundamental relativa a nuestra constitución genética, que pueda aumentar nuestra comprensión"
H22_economy_15,left,"['superior', 'oliva superior']",[None], la oliva superior que es una estación de relé,"facial, que controla los músculos de la expresión facial, y la oliva superior que es una estación de reléde la información auditiva. Ambas estructuras surgen del mismo segmento del"
H22_economy_16,both,['metodología'],['detección'], la metodología de RFLP es la detección de RSP,"corresponde a los que carecen de él. Una alternativa sencilla a la metodología de RFLP es la detección de RSPmediante PCR, basada en el diseño de cebadores que flanqueen la"
H22_economy_17,both,"['ingeniería', 'ingeniería de anticuerpos']","['producción', 'producción de anticuerpos']", la ingeniería de anticuerpos fue la producción de anticuerpos,"fin de obtener anticuerpos quiméricos. Anticuerpos humanizados Un objetivo inmediato de la ingeniería de anticuerpos fue la producción de anticuerposhumanizados, es decir, anticuerpos recombinantes entre roedores y humanos."
